code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,num_assessments_submitted,avg_score,avg_days_late,num_late_submissions,avg_assessment_weight,total_clicks,num_active_days,num_active_weeks,first_active_date,last_active_date,avg_weekly_clicks,engagement_span_days,date_registration,at_risk
AAA,2013J,102952,M,London Region,HE Qualification,60-70%,0-35,0,60,N,5.0,76.6,-0.4,0.0,20.0,1150.0,58.0,28.0,-3.0,246.0,41.07142857142857,249.0,-100.0,0
AAA,2013J,104476,M,Ireland,Post Graduate Qualification,Unknown,35-55,0,60,N,5.0,79.6,3.8,2.0,20.0,4777.0,161.0,39.0,-10.0,258.0,122.48717948717949,268.0,-109.0,0
AAA,2013J,106247,M,South Region,HE Qualification,80-90%,35-55,0,60,N,3.0,60.0,7.0,2.0,16.666666666666668,465.0,33.0,15.0,12.0,150.0,31.0,138.0,5.0,1
AAA,2013J,106577,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,5.0,53.4,1.2,1.0,20.0,733.0,47.0,23.0,-10.0,253.0,31.869565217391305,263.0,-107.0,0
AAA,2013J,110175,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,5.0,63.4,-0.4,1.0,20.0,998.0,70.0,32.0,-10.0,242.0,31.1875,252.0,-110.0,0
AAA,2013J,111717,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,3.0,81.0,-3.0,0.0,20.0,2343.0,136.0,37.0,-10.0,249.0,63.32432432432432,259.0,-43.0,0
AAA,2013J,113295,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,5.0,77.6,3.4,3.0,20.0,3553.0,195.0,39.0,-9.0,261.0,91.1025641025641,270.0,-26.0,0
AAA,2013J,114017,F,North Region,Post Graduate Qualification,Unknown,35-55,0,60,N,5.0,71.8,-1.0,0.0,20.0,757.0,50.0,19.0,-9.0,257.0,39.8421052631579,266.0,-29.0,0
AAA,2013J,114999,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,5.0,72.8,1.4,2.0,20.0,1358.0,120.0,39.0,-10.0,264.0,34.82051282051282,274.0,-68.0,0
AAA,2013J,116541,M,Wales,HE Qualification,0-10%,0-35,0,60,N,5.0,62.4,9.4,4.0,20.0,1886.0,108.0,32.0,0.0,242.0,58.9375,242.0,-68.0,0
AAA,2013J,116692,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,5.0,74.2,-4.6,0.0,20.0,1108.0,98.0,33.0,-10.0,228.0,33.57575757575758,238.0,-32.0,0
AAA,2013J,118983,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,5.0,61.8,0.0,0.0,20.0,284.0,27.0,15.0,-10.0,268.0,18.933333333333334,278.0,-99.0,0
AAA,2013J,123044,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,5.0,71.4,1.2,1.0,20.0,2041.0,127.0,35.0,-10.0,247.0,58.31428571428572,257.0,-82.0,0
AAA,2013J,127582,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,5.0,69.6,4.2,3.0,20.0,1321.0,89.0,30.0,-10.0,240.0,44.03333333333333,250.0,-31.0,0
AAA,2013J,129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,3.0,81.0,3.0,1.0,16.666666666666668,1011.0,83.0,20.0,-10.0,135.0,50.55,145.0,-197.0,1
AAA,2013J,132976,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,5.0,67.4,-0.8,0.0,20.0,520.0,32.0,20.0,-10.0,242.0,26.0,252.0,-75.0,0
AAA,2013J,134143,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,5.0,84.4,-0.8,0.0,20.0,2732.0,138.0,39.0,-10.0,268.0,70.05128205128206,278.0,-96.0,0
AAA,2013J,135335,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,0.0,,,0.0,,57.0,10.0,5.0,-10.0,24.0,11.4,34.0,-29.0,1
AAA,2013J,135400,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,2.0,61.5,-2.5,0.0,15.0,287.0,24.0,11.0,2.0,97.0,26.09090909090909,95.0,-32.0,1
AAA,2013J,137873,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,5.0,80.2,-1.8,0.0,20.0,5528.0,192.0,37.0,-10.0,250.0,149.40540540540542,260.0,-195.0,0
AAA,2013J,141355,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,5.0,72.6,1.4,1.0,20.0,1823.0,92.0,34.0,-9.0,256.0,53.61764705882353,265.0,-61.0,0
AAA,2013J,141377,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,1.0,45.0,35.0,1.0,10.0,143.0,9.0,6.0,3.0,109.0,23.833333333333332,106.0,-110.0,1
AAA,2013J,142326,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,5.0,73.6,1.0,1.0,20.0,2121.0,95.0,34.0,-5.0,242.0,62.38235294117647,247.0,-37.0,0
AAA,2013J,144801,F,South Region,HE Qualification,80-90%,35-55,0,60,N,5.0,68.8,0.6,2.0,20.0,5645.0,200.0,41.0,-10.0,267.0,137.6829268292683,277.0,-67.0,0
AAA,2013J,145130,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,5.0,54.4,4.2,2.0,20.0,452.0,35.0,22.0,-10.0,261.0,20.545454545454547,271.0,-36.0,0
AAA,2013J,146188,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,5.0,50.0,4.8,2.0,20.0,597.0,32.0,18.0,-10.0,255.0,33.166666666666664,265.0,-132.0,1
AAA,2013J,147756,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,4.0,73.75,2.5,2.0,17.5,611.0,74.0,31.0,-10.0,219.0,19.70967741935484,229.0,-92.0,1
AAA,2013J,147793,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,1.0,52.0,13.0,1.0,10.0,155.0,9.0,7.0,-9.0,59.0,22.142857142857142,68.0,-138.0,1
AAA,2013J,148993,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,3.0,72.0,6.666666666666667,3.0,16.666666666666668,1864.0,106.0,25.0,-10.0,157.0,74.56,167.0,-174.0,1
AAA,2013J,151358,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,5.0,50.0,-3.6,0.0,20.0,270.0,20.0,13.0,2.0,242.0,20.76923076923077,240.0,-44.0,0
AAA,2013J,155550,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,5.0,67.0,0.8,1.0,20.0,1529.0,81.0,29.0,-10.0,243.0,52.724137931034484,253.0,-16.0,0
AAA,2013J,155854,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,5.0,79.8,-1.0,0.0,20.0,4003.0,202.0,41.0,-10.0,267.0,97.63414634146342,277.0,-54.0,0
AAA,2013J,155984,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,2.0,80.0,18.0,1.0,15.0,908.0,44.0,21.0,-10.0,187.0,43.23809523809524,197.0,-64.0,1
AAA,2013J,157568,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,5.0,70.6,9.4,3.0,20.0,1405.0,87.0,29.0,-9.0,241.0,48.44827586206897,250.0,-52.0,0
AAA,2013J,159954,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,2.0,66.5,3.5,1.0,15.0,1185.0,66.0,19.0,-10.0,116.0,62.36842105263158,126.0,-46.0,1
AAA,2013J,164259,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,5.0,71.8,-0.4,1.0,20.0,466.0,51.0,26.0,-10.0,263.0,17.923076923076923,273.0,-64.0,0
AAA,2013J,167906,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,5.0,69.4,2.8,2.0,20.0,1510.0,99.0,33.0,-10.0,258.0,45.75757575757576,268.0,-117.0,0
AAA,2013J,168936,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,5.0,66.4,0.0,0.0,20.0,745.0,42.0,26.0,0.0,257.0,28.653846153846153,257.0,-32.0,0
AAA,2013J,172112,M,Ireland,HE Qualification,Unknown,35-55,0,60,N,5.0,69.6,7.0,3.0,20.0,1939.0,135.0,33.0,-10.0,263.0,58.75757575757576,273.0,-50.0,0
AAA,2013J,172797,F,Ireland,A Level or Equivalent,Unknown,35-55,0,60,N,5.0,61.4,0.8,2.0,20.0,1782.0,86.0,35.0,-10.0,268.0,50.91428571428571,278.0,-45.0,0
AAA,2013J,174782,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,5.0,80.4,-2.0,0.0,20.0,6318.0,249.0,39.0,-10.0,268.0,162.0,278.0,-162.0,0
AAA,2013J,175392,M,North Region,HE Qualification,Unknown,35-55,0,60,N,5.0,82.4,-1.8,0.0,20.0,4447.0,197.0,41.0,-10.0,266.0,108.46341463414635,276.0,-195.0,0
AAA,2013J,175932,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,5.0,78.2,0.4,2.0,20.0,2016.0,97.0,37.0,-10.0,253.0,54.486486486486484,263.0,-92.0,0
AAA,2013J,175991,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,5.0,37.6,16.2,2.0,20.0,138.0,17.0,13.0,-7.0,242.0,10.615384615384615,249.0,-57.0,1
AAA,2013J,180753,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,5.0,53.4,-2.8,0.0,20.0,2012.0,157.0,40.0,-10.0,263.0,50.3,273.0,-64.0,0
AAA,2013J,181316,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,1.0,76.0,1.0,1.0,10.0,487.0,20.0,10.0,-10.0,66.0,48.7,76.0,-39.0,1
AAA,2013J,183096,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,5.0,54.0,0.6,1.0,20.0,1975.0,116.0,35.0,-10.0,242.0,56.42857142857143,252.0,-128.0,0
AAA,2013J,183947,M,London Region,A Level or Equivalent,10-20,0-35,0,180,N,5.0,49.0,1.0,2.0,20.0,964.0,58.0,27.0,-3.0,253.0,35.7037037037037,256.0,-32.0,0
AAA,2013J,184271,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,5.0,59.8,-2.6,0.0,20.0,1312.0,147.0,35.0,-10.0,263.0,37.48571428571429,273.0,-74.0,0
AAA,2013J,185439,M,London Region,HE Qualification,10-20,0-35,0,120,N,1.0,74.0,5.0,1.0,10.0,427.0,15.0,7.0,-10.0,39.0,61.0,49.0,-12.0,1
AAA,2013J,186149,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,5.0,76.0,8.6,4.0,20.0,2136.0,109.0,38.0,-10.0,267.0,56.21052631578947,277.0,-109.0,0
AAA,2013J,187100,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,5.0,89.2,-2.0,0.0,20.0,8562.0,231.0,39.0,-10.0,265.0,219.53846153846155,275.0,-136.0,0
AAA,2013J,188278,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,1.0,76.0,0.0,0.0,10.0,1434.0,49.0,11.0,-10.0,60.0,130.36363636363637,70.0,-57.0,1
AAA,2013J,189879,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,5.0,79.4,-0.6,1.0,20.0,1541.0,84.0,33.0,-8.0,248.0,46.696969696969695,256.0,-180.0,0
AAA,2013J,192183,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,5.0,68.4,0.4,1.0,20.0,3219.0,176.0,37.0,-10.0,242.0,87.0,252.0,-62.0,0
AAA,2013J,195262,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,1.0,50.0,1.0,1.0,20.0,1905.0,58.0,25.0,-5.0,183.0,76.2,188.0,-45.0,1
AAA,2013J,200860,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,5.0,54.4,-2.0,1.0,20.0,534.0,81.0,33.0,-10.0,252.0,16.181818181818183,262.0,-54.0,0
AAA,2013J,202635,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,3.0,66.66666666666667,10.333333333333334,3.0,16.666666666666668,1418.0,47.0,17.0,-10.0,143.0,83.41176470588235,153.0,-73.0,1
AAA,2013J,205350,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,5.0,72.2,0.0,0.0,20.0,1665.0,126.0,36.0,-10.0,268.0,46.25,278.0,-68.0,0
AAA,2013J,205719,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,3.0,56.666666666666664,3.6666666666666665,2.0,16.666666666666668,333.0,32.0,20.0,-1.0,215.0,16.65,216.0,-51.0,1
AAA,2013J,227499,F,London Region,A Level or Equivalent,10-20,35-55,0,60,N,5.0,83.6,-1.0,0.0,20.0,2953.0,162.0,37.0,-10.0,243.0,79.8108108108108,253.0,-169.0,0
AAA,2013J,227517,M,Ireland,HE Qualification,Unknown,0-35,0,180,N,5.0,62.6,-0.6,0.0,20.0,1205.0,69.0,31.0,-10.0,262.0,38.87096774193548,272.0,-172.0,1
AAA,2013J,228082,M,London Region,HE Qualification,60-70%,0-35,0,60,N,5.0,72.4,0.0,0.0,20.0,227.0,37.0,25.0,-10.0,243.0,9.08,253.0,-31.0,0
AAA,2013J,228222,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,5.0,61.8,6.8,3.0,20.0,445.0,38.0,21.0,0.0,243.0,21.19047619047619,243.0,-108.0,0
AAA,2013J,229179,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,5.0,66.0,-0.8,0.0,20.0,614.0,50.0,30.0,-6.0,244.0,20.466666666666665,250.0,-165.0,0
AAA,2013J,229361,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,5.0,78.0,-1.0,0.0,20.0,1215.0,123.0,40.0,-10.0,268.0,30.375,278.0,-58.0,0
AAA,2013J,231554,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,4.0,67.75,0.5,2.0,20.0,1839.0,86.0,30.0,-9.0,249.0,61.3,258.0,-29.0,0
AAA,2013J,235507,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,N,1.0,65.0,-1.0,0.0,10.0,190.0,21.0,9.0,-10.0,46.0,21.11111111111111,56.0,-79.0,1
AAA,2013J,236284,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,5.0,78.0,1.6,2.0,20.0,732.0,41.0,23.0,16.0,242.0,31.82608695652174,226.0,2.0,0
AAA,2013J,238007,M,South Region,HE Qualification,90-100%,55<=,0,60,N,5.0,79.2,0.0,0.0,20.0,1935.0,162.0,36.0,-10.0,243.0,53.75,253.0,-151.0,0
AAA,2013J,240712,M,London Region,HE Qualification,80-90%,0-35,0,80,N,5.0,75.8,0.0,0.0,20.0,321.0,26.0,13.0,-9.0,215.0,24.692307692307693,224.0,-45.0,0
AAA,2013J,240884,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,5.0,58.4,-2.0,0.0,20.0,427.0,44.0,23.0,-6.0,242.0,18.565217391304348,248.0,-47.0,0
AAA,2013J,241649,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,5.0,78.8,-6.0,0.0,20.0,1892.0,135.0,40.0,-10.0,263.0,47.3,273.0,-50.0,0
AAA,2013J,241729,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,5.0,58.6,1.0,1.0,20.0,1829.0,117.0,36.0,-10.0,260.0,50.80555555555556,270.0,-31.0,1
AAA,2013J,242793,M,London Region,HE Qualification,20-30%,35-55,0,60,N,5.0,77.4,-0.6,0.0,20.0,658.0,56.0,31.0,-10.0,261.0,21.225806451612904,271.0,-36.0,0
AAA,2013J,246834,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,5.0,55.6,-0.2,0.0,20.0,1174.0,68.0,26.0,-10.0,267.0,45.15384615384615,277.0,-16.0,0
AAA,2013J,248270,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,5.0,78.4,3.8,3.0,20.0,1969.0,193.0,40.0,-10.0,265.0,49.225,275.0,-198.0,0
AAA,2013J,255548,M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,5.0,71.4,4.8,4.0,20.0,2580.0,166.0,39.0,-10.0,268.0,66.15384615384616,278.0,-103.0,0
AAA,2013J,256815,M,North Western Region,HE Qualification,10-20,0-35,0,120,N,5.0,76.8,4.6,3.0,20.0,1481.0,139.0,34.0,-10.0,262.0,43.55882352941177,272.0,-117.0,0
AAA,2013J,258392,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,5.0,58.8,2.2,2.0,20.0,844.0,53.0,22.0,-10.0,240.0,38.36363636363637,250.0,-68.0,0
AAA,2013J,258894,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,5.0,64.8,3.2,2.0,20.0,4963.0,204.0,38.0,-10.0,255.0,130.60526315789474,265.0,-172.0,0
AAA,2013J,260355,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,3.0,57.5,5.666666666666667,3.0,16.666666666666668,426.0,43.0,21.0,-9.0,163.0,20.285714285714285,172.0,-186.0,1
AAA,2013J,262011,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,5.0,71.0,2.6,1.0,20.0,1066.0,69.0,28.0,-7.0,243.0,38.07142857142857,250.0,-145.0,0
AAA,2013J,262934,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,5.0,76.6,-1.0,0.0,20.0,2407.0,119.0,39.0,-10.0,258.0,61.717948717948715,268.0,-191.0,0
AAA,2013J,268073,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,90,N,5.0,74.6,-2.2,0.0,20.0,3210.0,116.0,37.0,-3.0,268.0,86.75675675675676,271.0,-33.0,1
AAA,2013J,268733,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,N,2.0,43.0,5.5,2.0,15.0,188.0,18.0,14.0,-2.0,185.0,13.428571428571429,187.0,-17.0,1
AAA,2013J,271251,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,5.0,76.4,0.0,0.0,20.0,3348.0,128.0,39.0,-10.0,266.0,85.84615384615384,276.0,-68.0,0
AAA,2013J,277880,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,3.0,67.66666666666667,7.0,3.0,16.666666666666668,2016.0,78.0,27.0,-8.0,177.0,74.66666666666667,185.0,-108.0,1
AAA,2013J,279572,M,London Region,Lower Than A Level,40-50%,0-35,0,60,N,5.0,79.2,-3.0,0.0,20.0,1183.0,63.0,29.0,-10.0,265.0,40.793103448275865,275.0,-138.0,0
AAA,2013J,281022,F,Scotland,A Level or Equivalent,30-40%,0-35,0,150,N,5.0,73.4,1.4,2.0,20.0,492.0,49.0,22.0,-8.0,242.0,22.363636363636363,250.0,-74.0,0
AAA,2013J,281250,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,5.0,55.4,-2.2,0.0,20.0,130.0,15.0,12.0,-10.0,243.0,10.833333333333334,253.0,-64.0,1
AAA,2013J,281589,M,North Western Region,HE Qualification,30-40%,0-35,0,60,N,0.0,,,0.0,,59.0,8.0,5.0,-9.0,133.0,11.8,142.0,-50.0,1
AAA,2013J,282821,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,5.0,60.6,5.8,3.0,20.0,1961.0,87.0,31.0,-10.0,242.0,63.25806451612903,252.0,-107.0,0
AAA,2013J,286488,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,5.0,71.0,2.0,3.0,20.0,1046.0,68.0,30.0,-7.0,245.0,34.86666666666667,252.0,-8.0,0
AAA,2013J,287548,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,5.0,67.8,-0.4,1.0,20.0,483.0,47.0,29.0,-10.0,241.0,16.655172413793103,251.0,-52.0,0
AAA,2013J,290201,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,5.0,70.4,1.2,1.0,20.0,1740.0,108.0,35.0,-8.0,240.0,49.714285714285715,248.0,-96.0,0
AAA,2013J,290757,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,5.0,75.0,-0.8,0.0,20.0,652.0,33.0,16.0,-9.0,245.0,40.75,254.0,-141.0,0
AAA,2013J,291334,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,5.0,83.6,0.6,1.0,20.0,5231.0,229.0,41.0,-10.0,268.0,127.58536585365853,278.0,-132.0,0
AAA,2013J,292923,F,South East Region,A Level or Equivalent,90-100%,35-55,0,180,N,0.0,,,0.0,,0.0,0.0,0.0,,,,,-162.0,1
AAA,2013J,293699,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,4.0,46.75,4.0,2.0,22.5,187.0,28.0,14.0,-1.0,243.0,13.357142857142858,244.0,-27.0,0
AAA,2013J,294570,M,South East Region,HE Qualification,90-100%,55<=,0,60,N,5.0,78.2,-3.6,0.0,20.0,1775.0,119.0,37.0,-7.0,264.0,47.972972972972975,271.0,-80.0,0
AAA,2013J,294594,M,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,5.0,52.8,-1.4,0.0,20.0,865.0,94.0,34.0,0.0,266.0,25.441176470588236,266.0,-145.0,0
AAA,2013J,295741,M,South East Region,A Level or Equivalent,40-50%,35-55,0,240,N,5.0,50.2,-0.2,1.0,20.0,709.0,87.0,32.0,-8.0,256.0,22.15625,264.0,-17.0,1
AAA,2013J,296332,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,5.0,86.8,-2.8,0.0,20.0,2152.0,124.0,36.0,-10.0,267.0,59.77777777777778,277.0,-115.0,0
AAA,2013J,298696,F,South East Region,HE Qualification,80-90%,0-35,0,60,N,5.0,80.8,2.6,1.0,20.0,514.0,58.0,29.0,-10.0,253.0,17.724137931034484,263.0,-32.0,0
