Gender,Age,Department,Attendance (%),Midterm_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night,at_risk
Female,23,CS,54.04,59.73,75.29,99.99,29.3,64.97,27.5,No,No,Bachelor's,Medium,8,7.4,1
Male,20,Business,82.84,79.77,81.04,58.22,5.699999999999999,55.52,9.2,Yes,Yes,High School,High,8,7.3,1
Male,20,CS,82.69,99.7,94.68,83.73,91.6,82.56,23.3,No,Yes,Master's,Low,5,7.9,0
Male,18,Business,54.75,41.53,59.61,97.45,21.7,99.6,23.8,No,No,PhD,High,2,7.1,1
Male,22,Business,65.94,93.99,54.35,68.11,37.9,95.05,8.8,No,No,Unknown,High,10,8.4,0
Male,22,Business,99.64,40.24,81.36,86.72,53.1,62.64,27.7,No,Yes,PhD,Low,8,7.5,1
Female,23,CS,83.92,61.85,69.71,67.54,97.6,88.5,5.2,Yes,Yes,Bachelor's,Low,4,8.6,0
Female,20,Business,86.5,50.12,58.15,65.25,53.5,96.84,15.9,No,Yes,Unknown,Low,9,7.8,0
Male,18,Mathematics,60.65,85.44,55.85,60.09,44.8,95.32,5.5,No,No,PhD,Medium,10,7.7,0
Male,18,Business,53.94,43.04,77.95,91.05,58.4,94.23,18.1,No,No,PhD,High,6,8.3,0
Male,18,Engineering,63.85,73.21,65.02,62.87,97.1,89.32,15.3,No,Yes,High School,High,10,7.3,0
Female,21,Engineering,62.44,57.7,99.87,64.16,81.8,64.65,20.6,Yes,No,Master's,Low,7,4.9,0
Female,23,Mathematics,61.73,48.02,70.3,99.95,16.9,54.18,24.2,Yes,Yes,PhD,Low,3,4.4,1
Female,22,Business,59.64,86.31,60.61,66.37,80.3,74.39,24.2,Yes,Yes,Unknown,Medium,2,5.6,1
Male,22,Engineering,78.74,53.05,81.44,71.14,84.1,52.74,23.1,Yes,No,Master's,Low,2,8.1,1
Female,21,Business,66.41,53.42,62.21,99.5,69.1,99.92,7.5,Yes,No,Master's,Medium,3,4.1,0
Male,19,Engineering,91.02,56.5,74.7,68.47,65.7,67.92,15.4,No,No,Unknown,Medium,7,4.8,1
Female,21,CS,59.2,75.21,74.13,68.31,44.1,97.92,25.4,No,Yes,Master's,Medium,8,4.5,0
Female,23,CS,73.23,79.58,72.68,91.39,64.2,88.66,21.4,No,No,Bachelor's,Low,4,4.2,0
Female,18,Mathematics,50.68,41.06,89.8,65.6,73.8,70.56,22.0,Yes,Yes,Master's,High,3,8.1,1
Male,21,Mathematics,74.08,54.51,60.83,61.69,12.3,55.92,10.7,Yes,Yes,High School,Low,7,5.4,1
Male,18,Business,52.79,65.86,95.22,71.16,25.7,61.86,13.1,Yes,No,Master's,High,3,7.6,0
Female,23,Mathematics,98.89,59.92,89.57,85.03,19.4,83.65,28.9,No,No,PhD,Low,8,4.7,0
Male,24,Business,89.53,93.05,66.66,52.16,84.1,91.5,26.2,Yes,No,Master's,Medium,4,6.0,0
Male,23,CS,74.51,87.26,59.03,68.7,68.0,98.97,9.1,Yes,Yes,High School,High,8,4.6,0
Male,20,CS,54.33,77.55,63.98,67.31,45.1,56.61,18.6,No,No,High School,Low,2,4.0,0
Male,18,Engineering,79.62,60.28,66.63,62.24,82.6,57.8,17.3,Yes,Yes,Master's,Low,8,7.1,1
Male,22,Business,87.94,82.04,77.85,82.71,71.7,52.12,16.1,No,Yes,Bachelor's,High,8,6.4,0
Male,21,CS,59.54,90.62,52.32,64.5,91.4,63.02,16.8,Yes,Yes,Master's,Medium,10,6.1,1
Male,24,CS,78.41,75.69,95.72,80.34,7.7,91.05,21.1,Yes,No,Unknown,Medium,3,4.4,0
Female,23,Business,90.71,87.07,54.93,75.22,50.9,59.91,29.2,No,No,High School,High,2,6.9,1
Male,18,Engineering,88.41,84.95,63.96,60.86,70.7,77.39,26.9,No,No,Master's,Low,7,7.9,0
Male,24,Engineering,90.15,74.3,55.46,63.33,20.7,72.32,26.9,No,Yes,Bachelor's,Medium,9,4.3,1
Female,19,Engineering,93.97,58.73,62.83,58.53,32.7,66.29,22.6,Yes,Yes,Bachelor's,Low,10,6.1,1
Female,20,Engineering,96.88,84.75,91.88,52.83,41.900000000000006,80.92,5.4,No,Yes,Bachelor's,Medium,1,5.6,0
Female,19,CS,70.28,52.41,80.76,80.96,79.4,75.12,16.0,Yes,No,PhD,Low,5,8.5,0
Female,23,Business,78.44,86.77,61.37,83.64,49.400000000000006,66.74,17.8,No,No,PhD,Medium,3,5.3,1
Male,19,Business,89.53,88.27,93.59,58.3,49.3,84.44,26.1,Yes,Yes,PhD,Low,9,8.7,0
Female,19,CS,84.86,89.33,90.04,80.77,43.1,64.0,28.1,No,Yes,Unknown,Low,8,8.1,0
Female,20,CS,99.78,68.37,87.68,99.1,22.9,82.16,16.3,No,Yes,Unknown,Medium,9,4.5,0
Male,20,CS,50.68,51.55,92.38,53.72,92.3,97.86,12.5,Yes,Yes,Master's,Medium,9,6.4,0
Male,20,Mathematics,67.76,45.98,80.98,74.52,31.8,86.45,13.4,No,Yes,PhD,Low,10,7.2,0
Male,24,Business,64.05,84.6,75.07,86.65,56.7,70.92,19.5,No,Yes,PhD,High,3,7.0,0
Female,20,Business,63.12,93.18,68.7,52.3,14.9,87.38,11.9,Yes,No,Unknown,Low,7,7.4,1
Male,19,Business,61.13,79.05,61.19,88.91,43.4,90.46,27.8,Yes,Yes,Bachelor's,High,5,6.1,0
Female,22,Engineering,85.46,48.65,77.87,98.98,90.4,66.29,15.5,Yes,No,Bachelor's,Medium,6,8.5,0
Male,22,CS,54.24,96.09,94.47,54.42,99.5,85.26,29.8,Yes,Yes,High School,High,8,5.4,0
Male,20,CS,87.08,99.35,79.7,91.11,36.2,71.72,7.7,No,Yes,Master's,Low,10,4.5,0
Female,24,CS,84.67,66.0,95.98,68.93,15.4,90.93,9.7,No,No,Master's,Medium,8,8.9,0
Male,21,Mathematics,62.54,75.69,67.85,57.21,31.4,64.77,17.8,Yes,No,PhD,Medium,7,7.3,1
Male,18,Business,62.64,86.63,84.76,74.66,32.7,96.89,26.7,Yes,No,Unknown,High,1,7.3,0
Male,23,CS,81.44,84.18,82.43,53.58,64.5,78.74,13.8,Yes,No,Master's,Medium,1,8.1,0
Male,24,Mathematics,88.11,98.07,83.52,76.11,49.6,67.67,25.9,No,Yes,Bachelor's,High,6,6.1,0
Male,21,CS,93.82,46.89,82.25,50.97,76.8,70.97,15.6,No,Yes,Unknown,Low,9,5.9,1
Female,23,Engineering,92.61,74.84,61.08,86.43,70.1,67.39,26.3,Yes,Yes,PhD,Medium,8,8.7,0
Female,21,Business,98.24,81.52,57.18,74.4,25.1,57.31,11.9,No,Yes,PhD,Low,1,5.9,1
Male,21,Mathematics,79.07,93.41,98.93,72.95,78.4,53.42,16.8,Yes,No,Master's,High,8,4.4,0
Female,22,CS,95.43,92.45,52.26,59.81,84.7,66.09,12.0,No,Yes,Master's,High,5,5.5,0
Female,18,Business,90.43,98.68,73.39,68.06,59.8,72.93,10.4,No,No,High School,Low,2,8.4,0
Female,21,Mathematics,94.73,70.72,71.25,59.09,92.8,68.09,15.5,No,Yes,Master's,High,7,4.5,1
Male,20,Business,50.58,89.85,68.0,86.77,78.3,50.7,13.4,Yes,Yes,Master's,High,2,7.6,1
Male,23,Business,98.3,65.64,89.1,59.95,59.5,78.95,24.7,Yes,No,Bachelor's,Low,4,5.3,0
Male,24,Engineering,73.68,65.34,87.27,80.84,90.6,57.24,23.7,Yes,Yes,Bachelor's,Low,4,7.7,0
Female,22,Business,89.91,55.2,95.26,63.98,60.0,60.55,14.0,No,Yes,Unknown,Medium,5,6.6,1
Female,23,Mathematics,56.36,89.09,69.77,82.85,52.1,56.04,29.8,No,No,Master's,Medium,6,7.2,0
Male,20,Business,69.8,99.15,78.21,77.02,35.6,76.02,29.3,Yes,Yes,Master's,Low,2,5.2,0
Male,20,Mathematics,63.57,55.38,94.62,71.17,88.3,54.76,27.9,Yes,Yes,PhD,Medium,8,4.8,1
Female,21,Business,64.58,43.37,99.69,83.65,12.3,62.82,19.7,Yes,Yes,Bachelor's,High,9,4.3,1
Female,20,CS,56.16,88.93,98.46,70.79,47.400000000000006,72.59,15.3,No,No,PhD,Medium,3,8.1,0
Male,18,Engineering,90.29,77.21,85.89,91.07,53.7,58.39,12.8,No,No,Master's,Medium,7,7.6,1
Female,20,CS,50.46,97.58,57.16,86.48,55.5,72.31,5.4,No,Yes,Bachelor's,High,4,5.5,0
Female,21,Engineering,65.63,55.13,51.16,77.03,65.19999999999999,67.14,20.8,No,Yes,Master's,Low,10,8.2,1
Female,23,Mathematics,58.72,44.26,91.26,93.85,50.6,93.03,18.8,Yes,Yes,High School,High,4,8.2,0
Female,20,Engineering,79.45,69.55,92.05,91.44,25.7,89.75,20.7,No,Yes,PhD,Medium,1,4.7,0
Female,22,Business,62.71,45.13,87.32,76.59,85.7,99.64,19.4,Yes,No,Bachelor's,High,5,7.6,0
Female,24,Business,62.95,55.71,64.0,53.42,65.8,76.45,8.4,No,No,Bachelor's,Low,6,5.5,1
Female,22,CS,74.42,47.56,81.99,78.3,85.8,78.77,22.4,Yes,No,Master's,Medium,5,6.3,1
Male,22,Engineering,82.63,53.45,65.81,67.76,27.6,97.33,14.0,Yes,Yes,Master's,Low,6,6.2,0
Male,23,Mathematics,56.07,46.37,72.53,77.01,63.7,69.98,17.9,No,No,Unknown,Low,3,7.0,0
Female,19,Mathematics,58.78,97.23,69.12,82.36,71.39999999999999,77.78,14.1,No,No,Unknown,High,2,5.7,0
Female,24,Business,62.36,56.71,95.68,82.24,38.3,68.95,5.5,No,Yes,PhD,Low,5,4.4,0
Female,22,Mathematics,98.69,66.63,61.71,83.68,81.19999999999999,77.29,26.9,No,No,Bachelor's,High,6,7.4,0
Male,22,Business,69.86,93.92,78.88,83.96,0.3,54.04,8.7,Yes,Yes,Master's,High,10,8.8,0
Male,19,Business,79.95,80.64,68.05,55.46,59.5,89.19,19.6,No,Yes,PhD,Medium,6,7.3,1
Female,23,Business,62.08,77.08,83.15,59.59,61.4,99.26,27.1,No,Yes,Bachelor's,Low,5,6.7,0
Male,24,CS,74.52,82.33,78.23,81.53,53.4,53.29,10.5,No,No,Master's,Low,2,4.8,0
Female,22,CS,53.71,89.73,96.2,70.41,63.0,90.05,15.3,No,No,Unknown,Low,1,7.1,0
Female,21,Business,51.74,92.66,55.08,88.14,16.7,62.09,14.4,No,Yes,Bachelor's,Low,10,7.1,0
Female,23,Business,73.44,78.56,61.03,56.25,68.5,59.88,7.2,No,No,Master's,Low,6,7.1,0
Female,24,Business,69.93,93.4,88.32,59.58,33.6,84.67,15.6,Yes,No,PhD,High,1,8.5,0
Female,22,Mathematics,56.84,72.12,68.44,77.92,45.2,52.21,17.0,Yes,Yes,PhD,Medium,1,7.6,1
Female,22,Business,84.38,56.64,58.29,75.04,33.3,73.16,5.7,Yes,No,High School,Medium,6,7.9,1
Female,19,Business,99.65,92.8,75.17,63.32,47.400000000000006,50.07,17.2,No,No,Bachelor's,Low,1,5.6,1
Male,24,Engineering,69.78,72.49,82.61,70.42,62.2,77.72,7.3,Yes,Yes,PhD,High,2,5.4,0
Female,21,Engineering,81.23,94.37,52.24,51.75,83.80000000000001,73.1,27.3,No,Yes,Bachelor's,High,1,5.0,0
Male,23,Engineering,98.15,42.41,64.58,51.85,48.3,95.77,21.3,Yes,No,PhD,Low,7,7.9,1
Female,20,Engineering,91.58,63.85,90.47,54.75,32.3,86.01,6.4,Yes,Yes,Bachelor's,Medium,4,7.5,0
Female,18,Business,73.18,96.87,76.01,78.84,48.8,56.3,25.7,No,Yes,Bachelor's,Low,4,5.7,0
Male,21,Engineering,86.87,54.98,51.77,93.19,68.89999999999999,67.73,14.0,Yes,Yes,Bachelor's,High,4,4.7,1
Male,20,Mathematics,56.41,96.49,64.1,63.01,34.7,96.58,10.6,No,No,High School,Low,5,8.2,0
Female,21,Mathematics,75.61,97.23,81.96,51.7,41.4,86.27,11.3,No,Yes,Unknown,Low,9,5.9,0
Male,24,Engineering,63.95,92.93,59.97,85.43,56.3,79.71,19.9,Yes,Yes,Bachelor's,Low,5,4.9,0
Female,20,CS,58.06,73.82,91.37,92.77,29.4,77.95,7.0,Yes,No,Unknown,High,10,4.7,0
Female,24,Mathematics,71.31,78.82,83.83,56.91,20.9,69.9,6.5,Yes,No,Unknown,Medium,2,8.6,1
Male,20,Mathematics,56.55,92.18,73.57,69.29,14.0,79.26,20.7,Yes,No,Unknown,Low,8,4.7,0
Male,21,Engineering,84.95,86.55,95.78,57.94,35.3,88.58,29.5,Yes,No,PhD,Medium,8,5.8,0
Male,19,Engineering,72.81,77.81,69.59,55.32,4.8,56.38,17.1,No,Yes,Master's,Medium,9,7.2,1
Male,21,Business,76.56,98.94,61.75,82.41,58.3,98.49,15.3,Yes,No,Unknown,High,4,6.0,0
Female,24,Mathematics,57.32,81.14,83.07,98.38,17.6,61.97,28.7,No,Yes,Bachelor's,Low,3,6.4,1
Male,21,Engineering,56.99,98.53,78.66,83.91,37.7,72.39,11.0,No,Yes,Master's,Low,10,8.0,0
Male,20,Engineering,79.17,43.44,66.76,99.24,26.9,51.14,11.0,No,No,PhD,Medium,6,9.0,1
Male,18,Business,99.25,48.34,67.18,71.72,63.0,77.52,27.6,Yes,No,High School,Medium,1,6.3,1
Male,20,Mathematics,54.81,67.09,69.91,94.89,85.0,69.09,21.2,Yes,No,Unknown,Medium,6,5.9,0
Male,22,Engineering,64.29,63.09,64.56,60.25,63.3,62.49,6.3,Yes,Yes,Unknown,High,5,6.0,1
Female,21,Business,93.47,86.96,85.51,55.9,54.3,99.28,21.8,No,Yes,PhD,High,1,5.8,0
Female,23,Engineering,53.61,49.64,82.57,85.13,66.9,71.41,25.5,Yes,No,Bachelor's,Medium,6,6.4,0
Male,21,CS,93.79,98.57,72.04,68.57,3.0,70.71,11.8,Yes,Yes,Bachelor's,High,3,5.7,0
Male,19,CS,76.21,58.9,69.89,65.88,12.3,73.16,14.6,Yes,Yes,Master's,High,8,6.3,1
Female,24,Engineering,70.41,65.74,68.25,83.56,9.5,55.81,9.9,No,No,Master's,High,3,8.7,1
Male,23,Mathematics,65.48,56.48,64.17,66.67,9.8,69.65,20.8,No,No,Bachelor's,Low,3,5.4,1
Female,20,CS,64.86,74.76,54.28,78.63,26.0,66.82,21.6,Yes,No,High School,High,7,7.3,1
Female,19,Business,65.29,43.52,63.41,64.97,53.2,73.26,6.7,Yes,No,Bachelor's,Medium,1,6.4,1
Male,21,Engineering,94.24,48.98,66.06,89.19,11.5,92.83,21.9,Yes,Yes,High School,Low,10,7.7,1
Female,20,Business,86.19,84.75,77.38,65.62,93.5,59.64,21.5,No,No,PhD,Medium,10,6.4,0
Male,20,CS,83.49,51.19,88.69,76.75,85.39999999999999,80.39,5.9,Yes,No,High School,High,8,4.8,0
Male,22,Mathematics,89.94,54.13,69.79,51.16,97.2,51.88,18.9,No,Yes,PhD,Medium,4,8.4,1
Female,22,Business,62.86,87.58,97.24,89.59,4.3,65.84,20.3,No,No,Unknown,Medium,5,7.4,0
Female,18,CS,80.9,45.6,91.37,81.02,85.1,73.63,15.8,No,Yes,Bachelor's,High,5,6.6,1
Male,22,CS,73.0,66.25,99.24,59.61,80.39999999999999,53.71,27.5,No,Yes,Master's,Medium,4,8.2,1
Female,24,CS,89.12,41.38,93.81,60.77,90.2,77.2,13.2,No,Yes,Unknown,High,1,8.9,1
Male,23,Business,65.46,60.81,80.84,63.12,52.8,65.52,6.7,No,Yes,Master's,High,3,6.0,0
Female,20,CS,82.16,81.94,79.92,78.83,78.8,99.64,21.8,Yes,No,High School,High,8,5.8,0
Female,22,Engineering,94.11,45.41,56.48,77.42,5.1,81.55,20.1,No,Yes,Bachelor's,Medium,2,7.8,1
Male,18,CS,70.11,93.3,86.12,63.69,7.6,62.21,29.7,No,No,Bachelor's,Medium,8,6.3,0
Male,21,Engineering,53.33,94.57,80.01,84.7,11.9,55.13,10.8,No,Yes,Bachelor's,Medium,4,4.4,0
Male,23,Mathematics,75.8,46.3,75.35,94.45,91.5,52.04,14.9,Yes,Yes,Unknown,Low,9,5.8,1
Female,22,Engineering,67.3,99.44,84.66,52.18,6.1,54.54,16.5,No,No,PhD,Medium,8,8.0,0
Male,20,Mathematics,83.61,57.85,72.2,70.86,10.0,84.0,26.5,No,Yes,High School,High,8,7.5,0
Male,21,Mathematics,97.55,45.05,76.19,79.68,93.0,92.75,15.4,No,No,Unknown,High,4,8.3,0
Female,24,Engineering,74.28,40.3,69.92,79.32,10.7,57.84,24.3,No,Yes,Unknown,Low,2,4.7,1
Female,20,Mathematics,73.31,64.51,85.87,50.98,87.0,70.11,8.9,Yes,Yes,PhD,Low,8,5.2,0
Male,21,Engineering,82.73,77.79,93.83,60.53,78.89999999999999,67.71,15.2,No,Yes,Master's,Low,7,5.1,0
Male,24,Business,55.17,59.93,92.04,53.09,4.0,82.23,8.9,No,Yes,Master's,Low,2,8.9,0
Male,24,Mathematics,62.68,90.2,89.3,78.45,2.2,59.13,28.7,No,No,Bachelor's,Medium,7,4.8,1
Male,23,Engineering,95.95,83.0,50.69,82.27,53.4,97.67,9.4,Yes,No,Unknown,Medium,1,7.0,0
Female,20,Mathematics,83.5,61.01,95.59,57.99,99.7,86.43,15.5,Yes,Yes,PhD,High,6,7.2,0
Female,22,CS,50.67,84.06,63.74,66.65,87.89999999999999,97.75,7.1,No,No,PhD,Medium,7,7.1,0
Male,22,Engineering,60.23,96.43,94.4,66.49,31.0,63.87,28.0,Yes,No,Master's,Low,2,7.5,0
Male,18,CS,84.14,45.59,59.85,90.99,38.6,79.39,20.6,Yes,Yes,PhD,Low,2,6.4,1
Male,21,Mathematics,88.22,58.37,71.98,59.73,38.8,86.61,29.1,No,No,Master's,Low,8,4.4,0
Female,18,Mathematics,91.99,67.8,87.47,77.42,73.4,85.55,6.1,No,Yes,Master's,Low,2,7.5,0
Male,19,Business,64.61,69.88,82.01,89.15,34.1,51.07,9.4,No,No,Unknown,Medium,10,5.4,1
Male,22,Engineering,96.55,72.53,70.8,91.48,14.8,99.91,14.5,Yes,Yes,High School,High,2,4.4,0
Female,21,CS,77.65,58.04,83.93,83.33,74.7,96.4,20.5,Yes,No,Bachelor's,High,5,4.8,0
Female,23,Business,84.83,80.04,77.45,64.98,45.8,55.99,13.2,Yes,Yes,High School,Medium,4,5.4,1
Male,18,Mathematics,79.84,78.71,63.79,91.15,7.7,77.18,22.8,Yes,No,PhD,Low,1,6.2,0
Male,23,Mathematics,56.14,74.67,82.32,87.11,79.0,65.73,9.1,No,No,High School,Medium,8,8.3,0
Female,23,Business,98.16,46.83,60.21,85.22,58.5,93.94,20.0,No,No,High School,Medium,4,6.7,0
Male,23,CS,56.14,68.62,84.7,53.37,48.9,84.88,14.9,Yes,No,Master's,High,9,6.4,0
Male,18,Mathematics,62.74,61.37,50.16,52.16,67.30000000000001,61.18,17.7,No,Yes,Unknown,Medium,2,5.0,1
Female,19,Mathematics,90.68,69.46,77.44,84.77,50.5,51.69,19.2,No,No,PhD,Low,2,8.8,0
Female,24,Engineering,80.93,95.31,70.05,97.24,64.80000000000001,64.59,6.5,No,Yes,Bachelor's,Medium,6,8.5,1
Female,24,Business,91.91,68.83,65.16,88.69,86.7,51.91,28.1,Yes,No,Master's,High,2,8.1,1
Male,18,Mathematics,75.79,40.84,75.79,91.57,61.4,57.07,24.7,No,No,Bachelor's,High,2,5.6,1
Female,24,CS,68.85,66.33,82.27,77.25,66.0,81.81,16.1,No,No,Unknown,High,6,6.8,1
Female,20,Engineering,96.09,89.24,98.27,65.23,61.4,87.25,18.7,Yes,No,High School,Medium,6,5.9,0
Male,24,Business,51.81,86.8,91.65,83.89,53.1,73.4,5.8,No,Yes,High School,Low,8,6.0,0
Male,22,CS,92.81,70.8,85.86,85.6,17.2,80.01,17.4,No,Yes,Unknown,Low,10,4.4,0
Female,18,Mathematics,61.54,54.99,73.95,83.77,33.6,57.79,15.7,Yes,No,PhD,Low,1,4.7,1
Female,24,Business,92.44,67.91,69.61,97.34,69.3,65.84,14.4,No,No,Master's,High,1,8.8,0
Male,18,Business,56.96,73.82,51.63,68.36,42.5,85.64,25.4,No,Yes,High School,High,7,7.1,0
Male,19,CS,79.01,99.99,67.95,51.98,40.6,68.24,9.5,Yes,No,Unknown,High,9,4.0,1
Female,20,Business,94.41,78.65,92.42,95.42,75.9,67.44,9.4,No,No,Master's,Low,7,8.0,0
Female,18,CS,73.68,81.66,69.2,58.02,0.6,59.7,18.0,No,No,Master's,High,4,4.4,1
Male,22,Mathematics,87.33,69.49,73.08,84.87,67.9,79.74,22.2,Yes,Yes,Unknown,High,9,7.5,1
Female,24,Engineering,90.23,61.27,63.59,93.66,48.9,90.48,5.6,Yes,Yes,High School,Medium,6,7.1,0
Male,22,CS,86.82,88.78,63.71,65.51,37.7,73.47,18.6,Yes,Yes,PhD,High,10,4.3,0
Female,24,Engineering,96.27,69.7,53.09,91.52,34.1,55.78,12.5,Yes,No,High School,High,1,6.7,1
Male,18,Business,72.34,99.68,80.69,66.6,17.3,91.92,23.9,Yes,Yes,High School,Low,6,4.2,0
Male,23,CS,58.66,67.43,72.4,89.71,33.4,53.57,16.7,Yes,No,High School,Low,10,4.3,1
Female,24,Mathematics,52.39,44.08,80.3,53.49,39.1,73.59,25.9,Yes,Yes,High School,Medium,6,4.3,1
Female,23,CS,62.32,80.95,77.34,82.76,43.7,63.05,14.9,Yes,Yes,Bachelor's,Low,1,5.3,1
Male,20,CS,57.16,42.8,89.94,83.86,67.2,96.82,25.7,No,No,Unknown,Low,8,8.0,0
Female,22,CS,77.9,55.03,87.55,74.57,45.4,86.88,22.9,Yes,No,PhD,High,5,5.8,0
Female,23,Engineering,59.25,61.22,88.57,84.35,79.6,78.32,25.7,Yes,Yes,PhD,Medium,4,7.2,0
Female,22,Engineering,51.95,84.37,74.96,96.16,64.0,83.39,25.3,No,Yes,Bachelor's,High,10,4.6,0
Male,24,Business,51.8,69.65,67.69,86.69,19.0,76.64,17.2,Yes,Yes,PhD,High,1,8.7,1
Female,24,Business,91.58,41.72,96.67,98.06,27.7,57.38,14.2,Yes,Yes,Bachelor's,Medium,5,6.5,1
Female,20,Business,79.57,77.01,52.71,72.43,7.9,85.45,24.1,Yes,No,Bachelor's,Low,1,4.1,0
Male,24,Business,67.9,64.69,57.63,76.41,94.6,74.63,14.0,Yes,No,PhD,Medium,3,6.7,1
Female,20,CS,94.71,95.31,70.98,63.19,88.69999999999999,81.72,7.2,No,Yes,PhD,High,10,4.9,0
Female,23,Engineering,53.51,69.97,80.7,99.28,8.5,52.26,26.5,Yes,Yes,High School,Medium,1,5.0,1
Male,24,Engineering,99.02,82.54,50.41,52.76,57.400000000000006,57.1,14.9,Yes,No,Bachelor's,Low,10,7.0,1
Male,18,Engineering,80.81,53.13,85.97,67.93,96.0,79.47,8.3,Yes,Yes,Master's,Medium,3,5.1,1
Female,21,Engineering,59.17,85.66,77.94,64.88,74.7,72.97,21.2,Yes,Yes,Unknown,High,2,5.1,0
Female,19,Business,83.95,83.26,74.24,69.33,49.2,61.34,27.2,No,No,High School,High,4,6.7,0
Male,21,CS,88.17,94.24,71.17,95.89,24.1,62.04,26.5,Yes,Yes,Bachelor's,High,7,5.2,0
Male,21,Engineering,71.47,42.03,75.97,68.4,27.9,81.58,18.9,No,Yes,High School,High,1,4.6,1
Female,22,Mathematics,93.08,66.85,58.09,95.85,73.60000000000001,52.95,7.2,Yes,No,High School,Low,7,6.0,1
Female,20,CS,57.54,80.75,55.44,71.17,78.1,71.71,22.4,No,No,Unknown,Medium,6,4.3,0
Female,22,Mathematics,63.94,45.71,64.48,92.74,52.9,76.16,20.2,Yes,No,PhD,Medium,4,8.5,0
Male,23,CS,54.67,64.64,85.48,76.09,12.1,65.41,10.3,Yes,No,PhD,Medium,9,6.3,1
Female,19,CS,60.54,96.53,79.41,65.57,93.4,91.03,27.5,No,No,Unknown,Low,7,4.1,0
Male,23,CS,61.94,66.16,74.01,72.47,84.5,52.84,7.2,Yes,No,High School,Medium,10,5.1,1
Male,18,Mathematics,95.88,99.12,78.58,71.22,14.1,93.29,14.3,Yes,No,Bachelor's,Medium,10,8.8,0
Male,19,Engineering,53.91,43.41,77.96,63.0,5.699999999999999,86.16,7.4,No,Yes,PhD,Low,5,6.5,1
Female,22,Engineering,71.37,83.07,65.35,64.48,53.6,72.31,27.8,Yes,No,Master's,High,2,5.8,0
Female,24,Mathematics,76.62,74.86,54.87,59.32,28.4,96.22,5.9,Yes,No,Bachelor's,High,1,5.6,0
Female,24,Engineering,94.93,70.03,94.84,66.8,28.3,85.11,15.6,Yes,No,High School,Low,2,6.1,0
Male,22,Business,99.88,98.25,80.0,81.22,8.7,96.55,26.5,No,No,Master's,Low,9,5.1,0
Female,23,Engineering,87.67,47.78,84.89,69.33,95.3,73.63,11.3,No,No,Bachelor's,High,2,7.7,0
Male,22,Business,98.54,93.76,73.2,85.62,83.0,72.65,7.6,Yes,No,Unknown,Low,5,6.5,0
Male,22,Business,89.36,81.47,87.82,99.35,11.4,76.54,8.2,No,Yes,Master's,Medium,8,7.8,0
Male,21,Business,98.16,55.54,79.22,68.86,87.69999999999999,53.27,15.1,No,No,High School,Medium,8,5.3,1
