Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Study_Hours_per_Week,Stress_Level (1-10),Sleep_Hours_per_Night,Extracurricular,Avg_Exam_Score,Exam_Improvement,Study_Sleep_Ratio,Low_Score_Count,Overall_Avg_Score,Score_Variability,Attendance_Efficiency,Priority
88.84,75.28,81.74,85.08,97.99,98.2,99.59,22.1,8,4.5,0,78.50999999999999,6.459999999999994,4.804347826086957,0,89.64666666666666,10.30933104845638,100.9079993996698,0
93.16,99.99,80.94,83.01,55.12,44.5,60.4,22.7,8,8.9,0,90.465,-19.05,2.522222222222222,0,70.66,20.73429333254452,75.84800343495063,1
69.61,44.87,79.86,72.71,69.03,13.1,94.86,10.2,5,8.0,0,62.365,34.99,1.2592592592592593,1,62.40500000000001,29.14291320372759,89.6494756500503,1
99.52,41.84,63.85,85.85,50.0,4.699999999999999,91.22,12.4,9,6.1,1,52.845,22.01,2.0000000000000004,1,56.24333333333333,31.814882471363408,56.51460342979636,2
56.86,76.07,66.65,64.21,57.5,24.8,95.18,28.6,3,5.6,1,71.36,-9.419999999999987,5.017543859649123,0,64.06833333333334,23.25427222397353,112.6773361472623,1
75.74,44.01,97.12,99.51,65.59,15.3,82.72,18.0,2,4.6,1,70.565,53.11000000000001,3.829787234042554,1,67.375,32.90534105582253,88.95563770794824,1
84.33,45.5,40.4,90.75,57.29,43.7,51.5,23.1,7,4.9,1,42.95,-5.100000000000001,4.62,2,54.85666666666666,18.582428976499997,65.05000197636271,2
64.23,84.02,46.22,66.34,97.19,44.2,70.56,19.8,1,5.1,0,65.12,-37.8,3.807692307692309,1,68.08833333333332,20.778677933561283,106.00705796875808,2
57.49,71.96,98.34,63.47,63.0,75.5,96.46,28.6,4,7.7,0,85.15,26.38000000000001,3.666666666666667,0,78.12166666666666,15.705100339274075,135.88740070736938,0
72.56,79.39,81.55,58.45,55.85,91.4,59.93,15.8,9,5.0,1,80.47,2.1599999999999966,3.098039215686275,0,71.095,14.882004905253863,97.98098125689084,2
59.36,70.38,90.8,68.71,97.21,16.1,93.0,7.7,10,8.5,0,80.59,20.42,0.8953488372093024,0,72.7,30.21689130271345,122.47304582210242,0
96.11,63.19,72.18,58.69,65.39,2.4,94.54,11.4,7,5.6,1,67.685,8.990000000000009,2.0000000000000004,0,59.39833333333333,30.65255709833466,61.80244858322062,1
71.01,44.7,51.22,55.22,93.69,29.1,86.27,10.7,5,4.9,0,47.96,6.519999999999996,2.14,1,60.03333333333333,24.955797456035477,84.54208327465614,2
52.53,62.93,66.39,83.0,80.39,97.1,55.05,25.1,2,6.4,1,64.66,3.460000000000001,3.8615384615384616,0,74.14333333333333,15.458837817464373,141.1447426867187,2
62.13,55.13,46.48,79.52,80.29,13.3,79.98,28.1,1,4.4,1,50.805,-8.650000000000006,6.2444444444444445,1,59.116666666666674,26.738102151548954,95.14995439669512,2
53.11,54.59,63.58,73.06,80.33,50.5,93.04,14.1,10,5.3,1,59.085,8.989999999999995,2.611111111111111,0,69.18333333333334,16.13596562547983,130.2642314692776,1
73.1,62.15,63.31,54.61,65.76,16.8,60.53,11.9,8,8.1,0,62.73,1.1600000000000037,1.451219512195122,0,53.85999999999999,18.537160516109257,73.6798905608755,2
65.44,77.08,56.41,83.05,67.13,20.5,82.06,11.7,3,8.7,0,66.745,-20.67,1.3295454545454546,0,64.37166666666667,23.74438326566236,98.36746128769356,1
81.7,56.92,55.34,87.28,93.02,45.6,95.88,20.0,10,7.6,0,56.13,-1.5799999999999983,2.597402597402598,0,72.34,22.121490004066175,88.54345165238678,1
53.43,84.68,64.07,88.69,50.29,73.1,67.6,20.1,5,5.8,1,74.375,-20.610000000000014,3.40677966101695,0,71.40500000000002,14.085406277420615,133.6421486056523,1
92.72,50.56,71.89,70.58,99.06,27.0,69.04,24.9,9,6.1,1,61.225,21.33,4.016129032258065,0,64.68833333333335,24.112007313093336,69.76740005752086,2
96.35,52.41,85.32,69.16,75.27,44.400000000000006,56.42,8.9,10,8.9,1,68.865,32.91,0.9888888888888888,0,63.82999999999999,15.38799532102866,66.24805396990139,2
93.52,98.13,54.02,94.46,72.77,71.6,71.9,29.4,3,4.7,1,76.075,-44.10999999999999,6.125,0,77.14666666666666,16.445927966115704,82.49215854006273,1
72.89,90.24,57.76,58.47,68.73,24.4,73.35,18.2,1,6.2,1,74.0,-32.48,2.888888888888889,0,62.15833333333333,21.98026880333056,85.27690126674896,2
60.89,77.26,86.45,80.63,80.66,65.0,84.21,14.8,9,4.5,0,81.855,9.189999999999998,3.2173913043478266,0,79.035,7.577326045512361,129.7996386927246,0
52.12,69.41,43.58,69.37,53.62,18.5,94.4,24.1,3,6.4,0,56.495,-25.83,3.707692307692308,1,58.14666666666667,25.967929194810026,111.56305960603736,2
59.64,86.31,44.03,60.61,66.37,80.3,74.39,24.2,2,5.6,1,65.17,-42.28,4.24561403508772,1,68.66833333333334,15.208734880543703,115.13805052537448,2
85.66,98.1,47.32,79.44,90.13,49.7,95.96,10.6,9,7.7,1,72.71,-50.78,1.358974358974359,1,76.77499999999999,22.84263885806541,89.62759747840299,1
55.42,96.62,82.24,72.22,91.9,83.2,64.86,27.4,7,4.3,1,89.43,-14.38000000000001,6.227272727272728,0,81.84,11.85349231239469,147.67232046192711,1
92.3,83.54,71.49,72.49,76.14,58.6,88.89,12.5,6,7.9,1,77.515,-12.050000000000011,1.5625,0,75.19166666666666,10.531126087302663,81.46442759118816,1
86.24,85.06,59.86,96.2,73.24,88.5,70.01,17.8,3,5.7,1,72.46000000000001,-25.200000000000003,3.0689655172413794,0,78.81166666666667,13.438289201630791,91.38644094001238,1
67.29,59.16,54.07,96.82,63.24,51.7,91.98,15.9,6,4.1,0,56.615,-5.089999999999996,3.7857142857142874,0,69.49499999999999,19.762392314697124,103.27686134641104,1
56.36,52.94,78.56,83.59,79.66,88.9,63.87,7.4,3,7.1,1,65.75,25.620000000000005,1.027777777777778,0,74.58666666666666,13.497279232003269,132.33972084220483,1
59.18,46.28,45.88,94.77,99.19,86.5,84.14,27.9,4,8.0,1,46.08,-0.3999999999999986,3.4444444444444446,2,76.12666666666667,23.90395420566787,128.63580038301228,1
74.29,99.74,75.49,60.76,68.88,96.4,64.68,12.8,10,6.9,1,87.615,-24.25,1.8285714285714287,0,77.65833333333333,16.580721837925715,104.53403329295102,1
63.84,54.73,40.81,84.03,75.6,64.6,87.68,18.6,6,8.2,1,47.77,-13.919999999999996,2.240963855421687,1,67.90833333333333,18.04949796162394,106.37270258980784,2
51.01,40.42,61.64,98.96,98.41,70.5,91.05,7.2,7,7.4,1,51.03,21.22,0.96,1,76.83,23.46970302325958,150.61752597529895,1
84.42,54.5,88.66,64.56,83.57,81.6,90.65,11.8,4,7.5,0,71.58,34.16,1.5526315789473686,0,77.25666666666666,14.472120323804202,91.51464897733553,1
79.01,55.26,72.09,66.02,67.4,3.5,77.82,8.2,10,8.2,0,63.675,16.830000000000005,0.9879518072289156,0,57.01499999999999,27.26161092085352,72.1617516770029,2
52.0,98.31,53.2,89.21,67.07,39.900000000000006,90.02,20.1,2,7.2,1,75.755,-45.11,2.753424657534247,0,72.95166666666665,23.305971266322853,140.29166666666663,1
73.13,85.06,63.55,79.69,80.22,23.2,57.89,15.5,2,5.0,0,74.305,-21.510000000000005,3.03921568627451,0,64.93499999999999,23.020501080558606,88.79392862026528,2
93.76,94.2,66.75,76.72,87.67,83.80000000000001,94.23,6.7,2,4.7,0,80.475,-27.450000000000003,1.3958333333333337,0,83.895,10.702303957559794,89.4784556313993,0
67.92,64.63,44.45,60.06,54.44,76.6,59.15,18.5,4,8.5,1,54.54,-20.179999999999996,2.1511627906976747,1,59.88833333333332,10.680489533100372,88.17481350608557,2
66.76,69.9,61.22,93.82,61.18,91.5,80.97,5.2,2,7.6,0,65.56,-8.680000000000007,0.6753246753246754,0,76.43166666666667,14.53737310062126,114.48721789494708,1
64.08,62.79,96.99,79.21,55.76,3.8,83.56,25.3,7,4.4,1,79.89,34.2,5.622222222222223,0,63.685,32.84839158923919,99.38358302122349,1
68.98,73.59,86.63,58.93,89.39,79.4,75.52,29.0,6,4.3,1,80.11,13.039999999999992,6.590909090909092,0,77.24333333333334,10.881150061765837,111.97931767662124,1
65.33,91.65,94.52,86.67,79.37,95.4,80.71,16.7,4,6.2,1,93.085,2.8699999999999903,2.6507936507936507,0,88.05333333333334,6.927708615889289,134.78238685647227,0
82.07,98.76,91.86,56.87,66.86,40.5,79.49,9.7,6,9.0,1,95.31,-6.900000000000006,1.065934065934066,0,72.39,21.969484290715613,88.20519069087365,1
88.16,50.77,82.82,55.4,53.44,35.4,89.71,22.7,9,4.1,1,66.795,32.04999999999999,5.404761904761905,0,61.25666666666666,20.729243755300544,69.4835148215366,1
72.7,96.46,74.84,76.73,56.75,96.2,86.69,18.0,10,8.6,0,85.65,-21.61999999999999,2.0689655172413794,0,81.27833333333334,15.140699345362703,111.79963319578177,0
68.27,40.72,75.97,54.86,72.33,43.9,76.81,27.1,10,5.8,0,58.345,35.25,4.593220338983052,1,60.76499999999999,16.3919647998646,89.00688442947121,2
97.96,89.04,88.6,53.49,89.84,88.0,80.21,5.9,9,8.6,1,88.82,-0.4400000000000119,0.67816091954023,0,81.53,14.179464023721064,83.22784810126583,0
83.38,78.14,43.73,50.64,79.27,95.6,66.07,8.0,6,4.0,0,60.935,-34.410000000000004,1.951219512195122,1,68.90833333333333,19.39468733098491,82.64371951707044,2
57.35,67.5,40.58,58.46,54.93,97.0,58.74,23.7,9,4.3,1,54.04,-26.92,5.386363636363637,1,62.86833333333334,18.88219522901579,109.62220284800932,2
55.72,41.46,63.71,94.23,80.03,26.4,59.26,5.6,9,7.9,0,52.585,22.25,0.7,1,60.84833333333333,24.72075679801625,109.20375687963626,2
73.37,77.69,47.37,93.6,89.89,97.6,97.16,29.7,6,8.3,1,62.53,-30.32,3.5357142857142856,1,83.88499999999999,19.320928290328084,114.3314706283222,0
51.65,61.39,79.13,64.44,79.24,90.5,85.17,16.4,8,5.6,1,70.25999999999999,17.739999999999995,2.8771929824561404,0,76.645,11.482359949069703,148.39303000968056,1
55.08,61.71,51.99,51.31,87.2,30.6,65.89,18.0,4,4.7,0,56.85,-9.72,3.75,0,58.11666666666667,18.76278621811448,105.5131929314936,2
91.34,40.52,79.53,90.48,94.35,16.7,68.12,23.1,7,7.7,1,60.025000000000006,39.01,2.9615384615384617,1,64.95,30.540640464797065,71.10794832493978,1
63.17,49.5,42.52,91.06,60.85,8.0,96.6,10.1,6,7.0,0,46.010000000000005,-6.979999999999997,1.4225352112676055,2,58.08833333333333,32.87211487973761,91.9555696269326,2
52.51,66.99,88.53,88.23,74.46,44.400000000000006,69.8,24.7,10,8.4,0,77.75999999999999,21.540000000000006,2.9058823529411764,0,72.06833333333334,16.336324454009436,137.24687361137563,1
83.34,97.41,60.93,61.35,77.96,26.6,95.46,27.2,5,6.1,0,79.17,-36.48,4.387096774193549,0,69.95166666666667,26.470794031661885,83.93528517718582,1
73.97,97.14,98.88,83.29,72.98,41.5,55.04,10.3,9,7.3,0,98.01,1.7399999999999949,1.391891891891892,0,74.805,23.03762986941148,101.12883601460052,1
58.56,61.56,74.58,51.79,89.44,31.5,97.81,13.5,3,7.7,1,68.07,13.019999999999996,1.7307692307692308,0,67.78,24.608142554853668,115.74453551912568,1
87.32,91.44,48.54,78.82,62.16,33.1,99.72,19.2,10,4.1,1,69.99,-42.9,4.571428571428572,1,68.96333333333332,25.682303375411376,78.9777065200794,1
58.28,86.76,62.93,81.19,83.98,52.6,88.26,17.8,2,8.7,1,74.845,-23.830000000000005,2.022727272727273,0,75.95333333333333,14.66337978321051,130.32486845115534,1
91.55,44.84,98.73,94.37,80.21,74.2,65.59,6.9,8,8.9,0,71.785,53.89,0.7666666666666667,1,76.32333333333332,19.76744967532905,83.36792281085016,1
94.77,84.19,48.93,77.34,54.32,74.80000000000001,74.91,16.5,4,8.4,0,66.56,-35.26,1.9411764705882355,1,69.08166666666666,14.050815516071182,72.89402412859202,2
94.26,88.26,45.8,73.74,92.84,65.9,62.69,26.1,5,4.4,1,67.03,-42.46000000000001,5.800000000000001,1,71.53833333333333,17.38256645799655,75.89468845038544,2
82.87,52.28,97.24,93.63,59.11,64.3,60.09,25.7,1,5.9,0,74.75999999999999,44.96,4.283333333333333,0,71.10833333333333,19.268174191310045,85.80708740597724,1
93.0,58.13,86.31,58.17,90.95,76.2,63.93,22.8,7,6.2,1,72.22,28.18,3.619047619047619,0,72.28166666666667,14.351399118785132,77.72222222222221,1
52.32,49.71,76.3,78.26,58.52,18.1,61.3,28.8,5,8.6,0,63.005,26.59,3.3103448275862077,1,57.031666666666666,21.961903757795376,109.00547910295616,2
57.93,72.11,82.7,91.75,87.7,89.9,51.8,20.6,7,4.4,1,77.405,10.590000000000003,4.577777777777778,0,79.32666666666667,15.21462673438513,136.9353817826112,1
54.02,92.3,76.38,65.3,62.04,79.7,76.4,18.2,8,4.9,0,84.34,-15.920000000000002,3.64,0,75.35333333333334,10.830945788187968,139.49154634086142,1
96.51,40.82,63.23,98.03,92.02,37.400000000000006,81.96,23.2,8,7.9,0,52.025,22.41,2.9,1,68.91,25.948177585333426,71.40192726142368,1
87.06,66.52,69.47,81.44,99.17,4.0,62.14,11.0,4,7.3,0,67.995,2.950000000000003,1.4864864864864866,0,63.79,32.188658872341975,73.27130714449804,2
66.0,40.86,68.66,86.11,64.79,54.0,60.53,9.5,8,8.2,1,54.76,27.8,1.1445783132530123,1,62.491666666666674,15.13302272074772,94.68434343434345,2
84.86,86.43,46.24,99.15,58.46,89.80000000000001,89.81,26.8,3,4.2,1,66.33500000000001,-40.190000000000005,6.232558139534884,1,78.31500000000001,20.914193027702503,92.28729672401604,1
91.36,67.79,94.07,51.96,57.0,72.9,74.43,10.7,10,6.5,1,80.93,26.279999999999987,1.621212121212121,0,69.69166666666668,14.873836649185932,76.28247227086983,1
62.19,87.47,74.36,98.79,73.25,67.6,65.05,9.1,2,5.3,0,80.91499999999999,-13.11,1.6851851851851851,0,77.75333333333334,12.909024233715993,125.0254596130139,1
53.45,42.52,43.32,89.78,61.93,3.3000000000000003,57.68,22.6,3,4.7,0,42.92,0.7999999999999972,4.708333333333334,2,49.755,28.512658066199304,93.08699719363892,2
68.56,48.69,52.26,58.54,86.72,41.8,78.41,5.7,7,8.7,1,50.475,3.5700000000000003,0.6477272727272728,1,61.06999999999999,17.704306820658072,89.07526254375729,2
55.96,87.77,85.28,71.95,88.66,66.5,89.37,23.0,2,6.8,0,86.525,-2.489999999999995,3.333333333333333,0,81.58833333333332,9.828117656330058,145.79759351918037,0
85.92,52.78,69.82,76.78,93.43,37.0,97.14,5.5,2,5.2,0,61.3,17.039999999999992,1.0377358490566038,0,71.15833333333333,23.276697718247465,82.81928926132836,1
60.39,78.77,88.36,72.28,53.08,16.1,80.56,17.3,3,7.5,1,83.565,9.590000000000003,2.2763157894736845,0,64.85833333333333,26.6967806423671,107.39912789093115,1
59.35,95.43,98.77,57.11,66.07,87.89999999999999,82.29,20.4,7,8.3,1,97.1,3.339999999999989,2.4285714285714284,0,81.26166666666667,16.531775968318307,136.9194046616119,0
77.54,78.3,63.24,61.31,52.13,65.8,82.04,9.0,5,8.8,1,70.77,-15.059999999999995,1.0112359550561798,0,67.13666666666667,11.161094331053146,86.58326885048577,2
81.53,83.16,75.03,81.56,66.64,5.0,68.0,19.8,9,6.7,1,79.095,-8.129999999999995,2.9117647058823533,0,63.23166666666666,29.31739307419176,77.55631873747903,1
83.93,91.27,42.79,55.94,75.88,68.3,84.02,9.5,6,4.9,1,67.03,-48.48,1.9,1,69.7,18.022016535338103,83.04539497200048,2
74.42,47.56,58.01,81.99,78.3,85.8,78.77,22.4,5,6.3,1,52.785,10.449999999999996,3.5,1,71.73833333333333,15.286503088236584,96.39657798082952,2
60.97,84.31,43.09,85.01,69.5,24.2,85.56,7.4,8,5.2,1,63.7,-41.22,1.3962264150943398,1,65.27833333333334,25.924749114825907,107.06631676780933,2
70.67,44.09,66.9,59.24,99.45,43.9,52.83,16.0,5,5.2,1,55.495000000000005,22.81,3.018867924528302,1,61.06833333333333,20.79129184698889,86.41337672751284,2
55.79,99.3,75.0,69.74,87.25,99.6,61.31,12.9,1,8.4,0,87.15,-24.3,1.5176470588235291,0,82.03333333333333,15.899619701950945,147.03949333811318,1
77.29,42.66,69.73,65.85,82.8,47.7,69.64,5.6,8,8.9,1,56.195,27.070000000000007,0.6222222222222222,1,63.06333333333333,15.081953012347793,81.59313408375382,2
85.99,53.3,43.13,57.44,96.72,93.6,54.52,23.7,9,8.7,0,48.215,-10.169999999999996,2.6931818181818183,1,66.45166666666667,22.775624177323145,77.27836570143815,2
68.34,61.51,50.2,59.37,64.49,13.2,84.68,5.2,10,8.5,1,55.855,-11.309999999999995,0.6046511627906977,0,55.575,23.667428039396256,81.32133450395082,2
72.69,55.14,73.97,79.22,51.24,86.89999999999999,61.84,5.5,2,5.2,1,64.555,18.83,1.0377358490566038,0,68.05166666666666,14.162952258151073,93.61902141514192,2
78.69,96.76,64.97,84.37,57.64,88.10000000000001,96.06,27.0,10,5.9,1,80.86500000000001,-31.790000000000006,4.5,0,81.31666666666668,16.364577191808735,103.33799296818742,0
73.4,70.28,59.11,52.16,99.36,98.8,78.1,15.3,5,4.7,0,64.695,-11.170000000000002,3.1875000000000004,0,76.30166666666666,19.77740975625137,103.9532243415077,1
77.95,64.56,84.45,96.71,88.28,25.3,57.51,25.8,9,4.6,1,74.505,19.89,5.489361702127661,0,69.46833333333333,26.223549276683865,89.11909343596322,1
68.06,73.46,65.85,95.6,83.23,10.9,80.61,21.8,9,8.6,0,69.655,-7.609999999999999,2.505747126436782,0,68.27499999999999,29.82319684406753,100.3158977372906,1
91.68,87.29,82.34,65.51,93.76,55.7,58.96,8.5,7,7.1,0,84.815,-4.950000000000003,1.1805555555555556,0,73.92666666666666,15.935976489273154,80.63554392088423,1
79.77,70.18,77.19,95.12,95.47,46.3,88.67,10.9,9,4.3,0,73.685,7.009999999999991,2.4772727272727275,0,78.82166666666667,18.840339080458893,98.81116543395596,0
68.06,40.65,67.77,96.41,80.14,9.2,76.39,12.4,3,4.8,0,54.21,27.12,2.5306122448979598,1,61.75999999999999,31.612622795332875,90.74346165148395,2
62.11,93.94,62.68,61.32,72.3,4.0,93.08,15.8,5,7.0,0,78.31,-31.26,2.2253521126760565,0,64.55333333333333,32.91816438786748,103.93388074920838,1
54.42,82.77,90.83,86.76,78.97,29.6,88.9,15.0,5,5.2,0,86.8,8.060000000000002,2.8301886792452837,0,76.305,23.277337261808963,140.21499448732084,0
81.03,50.51,50.07,56.73,81.27,75.8,94.54,24.9,4,7.3,0,50.29,-0.4399999999999977,3.364864864864865,0,68.15333333333334,18.41500113132407,84.10876630054712,2
95.3,63.95,44.91,81.68,89.6,80.8,87.98,22.4,4,4.6,0,54.43,-19.040000000000006,4.765957446808511,1,74.82000000000001,17.246559077102887,78.50996852046171,1
59.81,71.79,73.19,61.29,77.82,27.9,76.93,21.4,5,7.1,1,72.49000000000001,1.3999999999999917,2.9722222222222223,0,64.82000000000001,19.025441913395863,108.3765256646046,1
84.95,86.55,58.31,95.78,57.94,35.3,88.58,29.5,8,5.8,1,72.43,-28.239999999999995,5.000000000000001,0,70.41000000000001,23.532566370882712,82.88404944084756,1
73.42,40.06,47.54,68.05,89.5,85.19999999999999,87.64,22.6,10,8.8,1,43.8,7.479999999999997,2.539325842696629,2,69.66499999999999,21.570553771287376,94.88558975755925,2
80.79,89.29,94.68,62.05,64.91,82.89999999999999,78.27,17.8,5,8.8,1,91.985,5.390000000000001,2.0,0,78.68333333333334,13.059236833240554,97.39241655320376,0
68.85,87.85,64.74,68.22,87.31,12.3,93.28,17.9,6,7.5,1,76.29499999999999,-23.11,2.3552631578947367,0,68.95,30.045725153505614,100.1452432824982,1
70.07,85.2,90.98,87.51,90.07,67.6,82.38,8.7,1,4.8,1,88.09,5.780000000000001,1.7755102040816326,0,83.95666666666666,8.612764171081588,119.81827696113412,0
57.38,53.68,68.66,92.5,96.47,46.1,85.69,25.2,2,7.2,0,61.17,14.979999999999997,3.452054794520548,0,73.85000000000001,20.99285592767216,128.70338096897876,1
94.91,52.11,88.82,97.63,50.87,8.0,57.01,6.2,8,7.6,0,70.465,36.71,0.8051948051948052,0,59.07333333333333,31.937458049548443,62.24142169774875,2
89.9,67.15,66.3,68.85,51.46,46.7,70.48,19.8,7,5.0,1,66.725,-0.8500000000000085,3.882352941176471,0,61.82333333333333,10.088010044932878,68.76900259547645,2
92.05,74.55,55.39,57.78,74.81,22.3,79.47,15.9,2,4.6,0,64.97,-19.16,3.382978723404256,0,60.71666666666666,21.234445287472585,65.96052869817127,2
87.02,55.08,40.58,84.0,92.96,49.2,73.31,6.2,6,8.5,0,47.83,-14.5,0.7209302325581396,1,65.855,20.745189080844742,75.6780050563089,2
89.91,61.89,44.44,61.6,92.19,52.3,50.03,27.5,6,5.3,0,53.165,-17.450000000000003,5.0925925925925934,1,60.40833333333334,16.983122700689254,67.18755792829867,2
93.97,58.73,80.37,62.83,58.53,32.7,66.29,22.6,10,6.1,1,69.55,21.640000000000008,3.645161290322581,0,59.90833333333334,15.566138142348176,63.75261608314711,2
64.93,92.9,83.55,92.47,56.95,89.5,60.45,22.6,9,6.9,1,88.225,-9.350000000000009,3.2285714285714286,0,79.30333333333333,16.342315217455166,122.13665999281274,1
89.34,62.36,92.04,83.29,84.74,83.69999999999999,66.52,22.3,2,5.0,1,77.2,29.680000000000007,4.372549019607844,0,78.77499999999999,11.626001462239715,88.17438997089768,1
85.78,64.21,51.25,59.9,98.21,55.2,53.17,19.7,5,8.1,0,57.73,-12.959999999999994,2.402439024390244,0,63.656666666666666,17.571353580947218,74.20921737778814,2
93.7,82.73,76.21,88.04,89.29,8.7,96.97,26.9,4,4.5,1,79.47,-6.52000000000001,5.8478260869565215,0,73.65666666666668,32.56687376256227,78.60903593027393,0
76.87,84.53,69.97,84.9,72.62,29.1,88.8,26.6,10,5.0,0,77.25,-14.560000000000002,5.215686274509805,0,71.65333333333334,22.13524399383632,93.21365075235244,1
81.49,93.48,73.78,55.0,60.22,57.2,64.96,8.9,7,5.8,1,83.63,-19.700000000000003,1.5084745762711866,0,67.44,14.395604884825092,82.75862068965517,2
86.06,67.48,89.9,84.98,50.25,43.1,88.0,16.2,5,5.5,0,78.69,22.42,2.892857142857143,0,70.61833333333334,20.30831988783579,82.05709195135178,1
90.52,98.24,55.68,66.74,50.3,6.1,56.67,24.5,3,4.2,0,76.96,-42.56,5.697674418604652,0,55.62166666666667,29.738048635824555,61.44682574753278,2
56.59,81.16,52.05,72.25,87.3,56.8,90.63,24.2,4,7.1,0,66.60499999999999,-29.11,3.361111111111111,0,73.365,16.01872747754952,129.64304647464215,1
66.39,96.46,90.01,74.9,58.25,22.200000000000003,77.3,20.2,10,6.2,0,93.235,-6.449999999999989,3.2063492063492065,0,69.85333333333334,26.835070834016197,105.21664909373902,1
55.38,64.95,93.97,63.41,51.32,88.0,91.1,16.3,4,7.4,0,79.46000000000001,29.02,2.1733333333333333,0,75.45833333333333,17.792602301705802,136.25556759359574,1
96.54,76.68,92.99,85.83,61.28,69.3,53.91,7.4,7,4.1,0,84.83500000000001,16.309999999999988,1.7619047619047623,0,73.33166666666666,14.782204729561371,75.95987846143221,1
58.17,78.04,69.49,84.22,73.04,22.3,56.07,9.9,3,4.8,1,73.765,-8.550000000000011,2.0204081632653064,0,63.86000000000001,22.447668030332235,109.78167440261304,2
77.83,94.79,62.96,95.8,89.14,28.0,92.84,7.1,7,8.0,1,78.875,-31.830000000000005,0.8765432098765432,0,77.255,27.07744725781956,99.26121033020684,0
90.65,85.88,91.88,51.33,60.65,94.7,81.69,12.1,4,5.0,1,88.88,6.0,2.372549019607843,0,77.68833333333332,17.657765902476637,85.70141570141568,1
86.11,79.57,75.58,79.45,52.57,98.1,67.94,13.5,3,8.0,1,77.57499999999999,-3.989999999999995,1.6666666666666667,0,75.535,15.005765225405868,87.71919637672744,1
75.28,79.96,70.55,54.43,87.86,37.9,92.05,19.3,7,7.5,0,75.255,-9.409999999999997,2.5394736842105265,0,70.45833333333333,20.862697252912117,93.59502302515054,1
65.9,76.75,44.16,82.6,65.96,71.2,50.77,8.1,4,5.4,0,60.455,-32.59,1.4727272727272729,1,65.24,14.990910579414448,98.99848254931712,2
94.1,83.41,47.99,54.68,77.05,0.5,63.77,22.9,1,4.5,0,65.7,-35.419999999999995,4.978260869565218,1,54.56666666666666,29.62637113563972,57.987956075097415,2
52.9,84.2,47.22,64.81,72.71,37.7,57.15,27.1,5,4.7,0,65.71000000000001,-36.98,5.645833333333334,1,60.63166666666666,16.950911971533174,114.61562696912412,2
95.12,79.83,80.98,51.02,67.28,14.6,56.54,7.4,6,6.1,1,80.405,1.1500000000000057,1.1935483870967745,0,58.37500000000001,24.593966536530864,61.36984861227923,2
