id_student,code_module,code_presentation,avg_weekly_clicks,clicks_trend,active_weeks_ratio,has_vle_activity,prior_avg_score,num_of_prev_attempts,studied_credits,cluster,cluster_label
26315,BBB,2014J,70.02857142857142,-67.97058823529412,1.0,1,38.06430116247635,1,60,5,Struggling Low-Engagement Studier
26734,BBB,2014J,13.125,-11.866666666666667,1.0,1,82.07939082634947,0,90,0,High-Performing Low-Engagement Light-Workload Studier
27116,CCC,2014J,47.35897435897436,-41.42105263157895,1.0,1,90.18905531074938,0,120,2,Average-Performing Moderately-Engaged Heavy-Workload Studier
27189,FFF,2014B,119.9090909090909,431.7142857142857,1.0,1,49.35544860113159,0,120,4,Average-Performing Engaged Increasing-Effort Studier
27417,DDD,2013J,22.77777777777778,-22.0,1.0,1,55.815285486041034,0,60,5,Struggling Low-Engagement Studier
27417,DDD,2014J,9.090909090909092,20.8,1.0,1,71.95022573630217,1,60,3,Average-Performing Low-Engagement Repeat-Attempter Studier
27683,FFF,2014B,85.16,-86.625,1.0,1,74.83094162662461,0,60,0,High-Performing Low-Engagement Light-Workload Studier
27759,BBB,2013J,13.071428571428571,-3.185185185185185,1.0,1,70.60894334423746,0,120,2,Average-Performing Moderately-Engaged Heavy-Workload Studier
27780,EEE,2014B,24.043478260869566,21.90909090909091,1.0,1,68.74859392575928,0,150,2,Average-Performing Moderately-Engaged Heavy-Workload Studier
27891,BBB,2013B,23.153846153846157,-11.0,1.0,1,74.47422894424675,2,120,3,Average-Performing Low-Engagement Repeat-Attempter Studier
27891,BBB,2014B,15.666666666666666,9.5,1.0,1,74.45282010157712,4,120,3,Average-Performing Low-Engagement Repeat-Attempter Studier
27935,DDD,2013J,38.71428571428572,-39.6,1.0,1,74.4819521527077,0,60,0,High-Performing Low-Engagement Light-Workload Studier
28046,DDD,2013J,23.607142857142858,-11.0,1.0,1,57.20159170630916,0,70,5,Struggling Low-Engagement Studier
28061,AAA,2014J,37.85714285714285,-37.75609756097561,1.0,1,76.15306930693069,0,60,0,High-Performing Low-Engagement Light-Workload Studier
28400,AAA,2013J,42.20588235294117,-42.45454545454545,1.0,1,69.15299407316574,0,60,0,High-Performing Low-Engagement Light-Workload Studier
28418,CCC,2014B,21.866666666666667,-22.357142857142858,1.0,1,50.51016773044382,0,30,5,Struggling Low-Engagement Studier
28787,CCC,2014J,20.15625,5.0,1.0,1,76.67692014530829,0,60,0,High-Performing Low-Engagement Light-Workload Studier
28808,FFF,2014B,23.2,-14.666666666666668,1.0,1,78.33996072655867,0,60,0,High-Performing Low-Engagement Light-Workload Studier
28897,FFF,2014B,96.2,-60.94117647058823,1.0,1,81.57085264153564,0,120,2,Average-Performing Moderately-Engaged Heavy-Workload Studier
28952,CCC,2014J,15.0,-15.166666666666668,1.0,1,71.27050695728326,0,60,0,High-Performing Low-Engagement Light-Workload Studier
29144,BBB,2013B,59.8125,-54.516129032258064,1.0,1,70.99009442843962,0,120,2,Average-Performing Moderately-Engaged Heavy-Workload Studier
29335,FFF,2013J,210.47619047619048,-211.5121951219512,1.0,1,91.86499951523523,0,60,1,High-Performing Engaged Fading-Effort Studier
29411,CCC,2014J,36.55555555555556,53.375,1.0,1,37.77050695728325,0,150,5,Struggling Low-Engagement Studier
29411,DDD,2013J,28.03333333333333,104.44827586206895,1.0,1,76.36349646821392,0,60,0,High-Performing Low-Engagement Light-Workload Studier
29420,CCC,2014J,31.384615384615383,-26.4,1.0,1,89.02966865446187,0,30,0,High-Performing Low-Engagement Light-Workload Studier
29639,CCC,2014J,166.33333333333334,-163.21951219512195,1.0,1,81.38250769170176,0,30,1,High-Performing Engaged Fading-Effort Studier
29639,EEE,2014B,95.05405405405403,-85.36111111111111,1.0,1,83.51977877765279,0,30,1,High-Performing Engaged Fading-Effort Studier
29764,CCC,2014B,86.87878787878788,-86.5,1.0,1,88.07813717070619,0,90,1,High-Performing Engaged Fading-Effort Studier
29769,FFF,2013J,67.0,-57.39130434782609,1.0,1,75.92598868896009,1,60,3,Average-Performing Low-Engagement Repeat-Attempter Studier
29820,CCC,2014B,39.5,-30.68,1.0,1,76.79212526594429,0,60,0,High-Performing Low-Engagement Light-Workload Studier
29820,EEE,2014B,46.09375,107.25806451612902,1.0,1,85.31144544431946,0,60,0,High-Performing Low-Engagement Light-Workload Studier
29985,GGG,2014B,28.14814814814815,-28.192307692307693,1.0,1,74.02597118861165,0,30,0,High-Performing Low-Engagement Light-Workload Studier
30091,BBB,2013J,44.4,-20.06896551724138,1.0,1,83.51194085326438,0,60,0,High-Performing Low-Engagement Light-Workload Studier
30096,CCC,2014J,32.45454545454545,-28.76190476190476,1.0,1,93.78726959646367,0,60,0,High-Performing Low-Engagement Light-Workload Studier
30531,FFF,2014B,91.05882352941175,-95.6875,1.0,1,85.086647029946,1,180,2,Average-Performing Moderately-Engaged Heavy-Workload Studier
30549,DDD,2013J,10.538461538461538,-10.333333333333334,1.0,1,69.59447527749748,2,60,3,Average-Performing Low-Engagement Repeat-Attempter Studier
30850,CCC,2014J,59.42105263157895,-41.51351351351352,1.0,1,96.82982912027319,0,120,2,Average-Performing Moderately-Engaged Heavy-Workload Studier
31014,BBB,2013J,31.235294117647054,-32.125,1.0,1,84.94983408748115,0,120,2,Average-Performing Moderately-Engaged Heavy-Workload Studier
31107,GGG,2014B,104.67567567567568,-106.55555555555556,1.0,1,80.7889341515746,0,30,1,High-Performing Engaged Fading-Effort Studier
31161,CCC,2014J,73.3,-73.12820512820512,1.0,1,91.40721007265415,0,105,2,Average-Performing Moderately-Engaged Heavy-Workload Studier
31173,DDD,2013J,29.58620689655172,-29.607142857142858,1.0,1,66.84444884916631,1,60,3,Average-Performing Low-Engagement Repeat-Attempter Studier
31205,GGG,2014J,23.8125,-24.33333333333333,1.0,1,81.85432395332876,0,30,0,High-Performing Low-Engagement Light-Workload Studier
31269,DDD,2014B,43.0,-26.0,1.0,1,57.162657250055176,1,120,3,Average-Performing Low-Engagement Repeat-Attempter Studier
31296,FFF,2014J,51.2,-51.25,1.0,1,62.428391373066795,1,60,3,Average-Performing Low-Engagement Repeat-Attempter Studier
31600,AAA,2014J,39.0,-13.200000000000005,1.0,1,54.419735973597355,0,60,5,Struggling Low-Engagement Studier
31604,AAA,2013J,56.78947368421053,-56.270270270270274,1.0,1,72.30299407316575,0,60,0,High-Performing Low-Engagement Light-Workload Studier
31663,BBB,2013B,159.6216216216216,-159.94444444444446,1.0,1,82.79568332023848,0,60,1,High-Performing Engaged Fading-Effort Studier
31849,BBB,2013J,33.68571428571428,-29.529411764705884,1.0,1,78.88964319993732,0,120,2,Average-Performing Moderately-Engaged Heavy-Workload Studier
32221,FFF,2013J,62.94444444444444,-29.58823529411765,1.0,1,88.76118642675212,0,60,0,High-Performing Low-Engagement Light-Workload Studier
32239,GGG,2013J,20.0,-17.566666666666666,1.0,1,67.84106647575823,0,30,0,High-Performing Low-Engagement Light-Workload Studier
32327,BBB,2014J,53.76923076923077,-24.666666666666664,1.0,1,33.369086239524194,2,60,3,Average-Performing Low-Engagement Repeat-Attempter Studier
32885,AAA,2013J,33.354838709677416,-27.23333333333333,1.0,1,58.236327406499086,0,60,5,Struggling Low-Engagement Studier
32930,BBB,2014J,36.5,-25.636363636363637,1.0,1,35.59763449580968,0,60,5,Struggling Low-Engagement Studier
33387,DDD,2013J,19.07692307692308,-13.083333333333332,1.0,1,64.86482509249916,1,120,3,Average-Performing Low-Engagement Repeat-Attempter Studier
33600,FFF,2013J,68.71428571428571,265.1666666666667,1.0,1,77.1392654670939,0,150,4,Average-Performing Engaged Increasing-Effort Studier
33666,BBB,2013B,60.4,-48.8421052631579,1.0,1,68.36512455516014,1,60,3,Average-Performing Low-Engagement Repeat-Attempter Studier
33681,DDD,2013J,36.16666666666666,-7.81818181818182,1.0,1,82.36482509249916,2,60,3,Average-Performing Low-Engagement Repeat-Attempter Studier
33681,DDD,2014J,15.0,-28.0,1.0,1,82.53355906963552,3,60,3,Average-Performing Low-Engagement Repeat-Attempter Studier
33796,DDD,2014J,14.625,-14.217391304347826,1.0,1,72.03626160197923,2,60,3,Average-Performing Low-Engagement Repeat-Attempter Studier
33897,DDD,2013J,107.33333333333331,-128.0,1.0,1,69.59447527749748,0,60,1,High-Performing Engaged Fading-Effort Studier
33915,FFF,2013B,121.20588235294116,-122.8181818181818,1.0,1,90.81748886908973,0,60,1,High-Performing Engaged Fading-Effort Studier
33930,DDD,2013J,18.75862068965517,-3.8928571428571423,1.0,1,79.84074587958291,0,90,0,High-Performing Low-Engagement Light-Workload Studier
34068,CCC,2014J,38.3125,-39.8,1.0,1,78.5136713048555,0,30,0,High-Performing Low-Engagement Light-Workload Studier
34087,DDD,2013J,17.294117647058822,-17.3125,1.0,1,81.03149175916583,0,60,0,High-Performing Low-Engagement Light-Workload Studier
34087,DDD,2014J,10.916666666666666,19.727272727272727,1.0,1,82.70022573630217,1,60,3,Average-Performing Low-Engagement Repeat-Attempter Studier
34229,BBB,2013B,26.14814814814815,-26.115384615384617,1.0,1,82.40795157129676,2,120,3,Average-Performing Low-Engagement Repeat-Attempter Studier
34293,FFF,2014B,70.84615384615384,-60.5,1.0,1,74.33996072655867,0,60,0,High-Performing Low-Engagement Light-Workload Studier
34353,BBB,2013B,21.72222222222222,-16.647058823529413,1.0,1,89.56378339829408,0,120,2,Average-Performing Moderately-Engaged Heavy-Workload Studier
34431,BBB,2013B,27.428571428571427,-30.83333333333333,1.0,1,79.09537366548042,0,60,0,High-Performing Low-Engagement Light-Workload Studier
34653,DDD,2013J,13.3125,-13.133333333333333,1.0,1,58.531491759165824,0,60,5,Struggling Low-Engagement Studier
34662,BBB,2014J,16.76923076923077,-11.666666666666668,1.0,1,33.369086239524194,0,60,5,Struggling Low-Engagement Studier
34731,FFF,2013J,52.38461538461539,-50.25,1.0,1,75.7130884890313,0,60,0,High-Performing Low-Engagement Light-Workload Studier
34756,BBB,2013B,16.125,-12.714285714285715,1.0,1,70.36512455516014,1,150,3,Average-Performing Low-Engagement Repeat-Attempter Studier
34863,BBB,2013B,14.142857142857142,-14.153846153846152,1.0,1,68.88810756266273,0,60,0,High-Performing Low-Engagement Light-Workload Studier
35001,GGG,2013J,8.555555555555555,-1.75,1.0,1,80.13212304589007,0,30,0,High-Performing Low-Engagement Light-Workload Studier
35340,EEE,2014B,53.294117647058826,-49.75757575757576,1.0,1,86.85311211098613,0,60,0,High-Performing Low-Engagement Light-Workload Studier
35355,CCC,2014J,55.8,-55.578947368421055,1.0,1,79.87486944957996,0,30,0,High-Performing Low-Engagement Light-Workload Studier
35355,EEE,2013J,65.94117647058823,-66.9090909090909,1.0,1,84.07390373712832,0,30,0,High-Performing Low-Engagement Light-Workload Studier
35502,DDD,2014B,77.85714285714286,-66.33333333333333,1.0,1,69.32531450011035,0,60,0,High-Performing Low-Engagement Light-Workload Studier
35508,CCC,2014J,38.06666666666667,-38.3448275862069,1.0,1,82.59358681197496,0,30,0,High-Performing Low-Engagement Light-Workload Studier
35508,EEE,2014B,66.76470588235294,-67.75757575757575,1.0,1,93.01977877765279,0,30,0,High-Performing Low-Engagement Light-Workload Studier
35544,FFF,2013B,63.84848484848485,-64.8125,1.0,1,85.67584023994108,0,60,0,High-Performing Low-Engagement Light-Workload Studier
35747,FFF,2014J,81.625,-85.28571428571429,1.0,1,78.72092735703245,0,120,2,Average-Performing Moderately-Engaged Heavy-Workload Studier
35796,FFF,2014J,60.2,-65.77777777777777,1.0,1,78.72092735703245,0,60,0,High-Performing Low-Engagement Light-Workload Studier
35812,BBB,2013B,9.5,-17.0,1.0,1,79.09537366548042,0,60,0,High-Performing Low-Engagement Light-Workload Studier
35860,FFF,2013B,82.03703703703704,-84.15384615384616,1.0,1,82.51633296325399,0,60,0,High-Performing Low-Engagement Light-Workload Studier
36347,FFF,2014B,72.03333333333333,-73.48275862068965,1.0,1,73.2539827583642,0,120,2,Average-Performing Moderately-Engaged Heavy-Workload Studier
36385,FFF,2013B,96.78571428571428,49.76923076923077,1.0,1,76.44568179952384,0,120,2,Average-Performing Moderately-Engaged Heavy-Workload Studier
37298,FFF,2013B,65.53125,-63.516129032258064,1.0,1,85.05521611378069,0,120,2,Average-Performing Moderately-Engaged Heavy-Workload Studier
37622,BBB,2013J,22.38095238095238,-21.4,1.0,1,76.75142498024852,1,120,3,Average-Performing Low-Engagement Repeat-Attempter Studier
37652,CCC,2014J,28.548387096774192,-28.466666666666665,1.0,1,93.38525347864163,0,50,0,High-Performing Low-Engagement Light-Workload Studier
38053,AAA,2013J,59.63414634146341,-60.1,1.0,1,72.88632740649908,0,60,0,High-Performing Low-Engagement Light-Workload Studier
38234,BBB,2013J,15.666666666666666,23.2,1.0,1,74.72607196724844,0,60,0,High-Performing Low-Engagement Light-Workload Studier
38711,BBB,2014J,15.363636363636363,-11.4,1.0,1,32.47620978642876,0,60,5,Struggling Low-Engagement Studier
39208,BBB,2014J,51.675,-50.94871794871795,1.0,1,82.59763449580967,0,120,2,Average-Performing Moderately-Engaged Heavy-Workload Studier
39411,DDD,2013J,20.5,-15.428571428571429,1.0,1,69.59447527749748,0,60,0,High-Performing Low-Engagement Light-Workload Studier
39427,DDD,2013J,15.5,-0.5999999999999996,1.0,1,69.59447527749748,0,60,0,High-Performing Low-Engagement Light-Workload Studier
39655,BBB,2013B,18.782608695652176,-9.181818181818183,1.0,1,78.58352603308118,0,120,2,Average-Performing Moderately-Engaged Heavy-Workload Studier
39660,DDD,2014B,30.0,-26.25,1.0,1,80.41466195836092,0,120,2,Average-Performing Moderately-Engaged Heavy-Workload Studier
39882,FFF,2014B,88.05,-64.26315789473684,1.0,1,80.57515880454025,1,120,3,Average-Performing Low-Engagement Repeat-Attempter Studier
40184,DDD,2013J,49.36842105263158,-48.648648648648646,1.0,1,89.21587742059488,0,60,0,High-Performing Low-Engagement Light-Workload Studier
40419,DDD,2013B,24.0,-25.2,1.0,1,68.34804442298406,0,60,0,High-Performing Low-Engagement Light-Workload Studier
40419,DDD,2013J,29.473684210526315,24.83333333333333,1.0,1,75.50159170630916,1,60,3,Average-Performing Low-Engagement Repeat-Attempter Studier
40563,DDD,2013J,18.83870967741936,-14.3,1.0,1,83.17778218249964,0,60,0,High-Performing Low-Engagement Light-Workload Studier
40604,CCC,2014B,18.6,-18.33333333333333,1.0,1,76.4756114657035,0,30,0,High-Performing Low-Engagement Light-Workload Studier
40857,FFF,2014J,30.4,-27.111111111111114,1.0,1,78.72092735703245,0,120,2,Average-Performing Moderately-Engaged Heavy-Workload Studier
40878,FFF,2014J,72.20588235294117,-61.0,1.0,1,89.09474839567382,0,120,2,Average-Performing Moderately-Engaged Heavy-Workload Studier
41060,DDD,2013B,25.6875,1.3999999999999986,1.0,1,83.99939191529003,0,60,0,High-Performing Low-Engagement Light-Workload Studier
41414,GGG,2014B,33.27586206896552,-33.42857142857143,1.0,1,76.34329923093968,0,30,0,High-Performing Low-Engagement Light-Workload Studier
41547,BBB,2014J,33.56666666666667,-24.379310344827587,1.0,1,80.74763449580968,0,60,0,High-Performing Low-Engagement Light-Workload Studier
42552,FFF,2014J,133.6578947368421,-132.13513513513513,1.0,1,76.20724238316781,0,90,1,High-Performing Engaged Fading-Effort Studier
42616,FFF,2013J,116.94285714285714,-118.32352941176472,1.0,1,76.47047390195961,0,60,1,High-Performing Engaged Fading-Effort Studier
42638,CCC,2014B,148.92105263157896,-125.21621621621622,1.0,1,68.68557764689666,0,60,1,High-Performing Engaged Fading-Effort Studier
42638,EEE,2013J,150.8780487804878,-143.375,1.0,1,81.82390373712832,0,60,1,High-Performing Engaged Fading-Effort Studier
42668,FFF,2013B,81.11428571428571,-78.3529411764706,1.0,1,78.83296505956592,1,120,3,Average-Performing Low-Engagement Repeat-Attempter Studier
42746,CCC,2014J,60.075,-60.58974358974359,1.0,1,91.2423291202732,0,60,0,High-Performing Low-Engagement Light-Workload Studier
42746,FFF,2014B,217.6315789473684,-222.48648648648648,1.0,1,92.65794980363279,0,60,1,High-Performing Engaged Fading-Effort Studier
42818,DDD,2013J,22.22222222222222,-23.875,1.0,1,69.59447527749748,0,180,2,Average-Performing Moderately-Engaged Heavy-Workload Studier
43273,FFF,2013B,71.61538461538461,-73.44,1.0,1,77.05098754633839,0,90,0,High-Performing Low-Engagement Light-Workload Studier
43284,DDD,2013B,27.32258064516129,-27.2,1.0,1,76.41411569188006,2,180,3,Average-Performing Low-Engagement Repeat-Attempter Studier
43430,FFF,2013B,158.13888888888889,-148.25714285714287,1.0,1,91.04529971565057,0,60,1,High-Performing Engaged Fading-Effort Studier
43564,EEE,2013J,64.83333333333333,-54.34285714285714,1.0,1,91.49057040379498,0,60,0,High-Performing Low-Engagement Light-Workload Studier
43958,FFF,2013J,138.75,-142.66666666666666,1.0,1,88.29451976008545,0,60,1,High-Performing Engaged Fading-Effort Studier
43958,FFF,2014J,64.58823529411765,-67.5625,1.0,1,88.38682122617207,1,60,3,Average-Performing Low-Engagement Repeat-Attempter Studier
45423,FFF,2014J,162.33333333333334,-167.53846153846155,1.0,1,61.32715279682822,0,60,1,High-Performing Engaged Fading-Effort Studier
45462,AAA,2013J,43.88235294117647,-44.18181818181818,1.0,1,68.11966073983243,0,60,0,High-Performing Low-Engagement Light-Workload Studier
45642,AAA,2013J,38.5945945945946,-27.333333333333336,1.0,1,71.53632740649908,0,120,2,Average-Performing Moderately-Engaged Heavy-Workload Studier
45664,CCC,2014B,26.466666666666665,14.5,1.0,1,32.34011182029588,0,60,5,Struggling Low-Engagement Studier
45664,DDD,2013B,37.42857142857143,-37.77777777777778,1.0,1,55.953473145771554,1,60,3,Average-Performing Low-Engagement Repeat-Attempter Studier
46016,DDD,2014J,24.3125,-24.866666666666667,1.0,1,67.54474542618068,0,60,0,High-Performing Low-Engagement Light-Workload Studier
46148,FFF,2014B,116.375,-119.09677419354838,1.0,1,83.79331837025136,0,60,1,High-Performing Engaged Fading-Effort Studier
46605,CCC,2014B,90.1842105263158,-86.45945945945945,1.0,1,90.55045859927762,0,60,1,High-Performing Engaged Fading-Effort Studier
46705,CCC,2014J,42.55555555555556,-41.07692307692308,1.0,1,93.66062103541425,0,60,0,High-Performing Low-Engagement Light-Workload Studier
46753,DDD,2014B,59.3,-59.27586206896552,1.0,1,72.54033019446284,0,60,0,High-Performing Low-Engagement Light-Workload Studier
46812,DDD,2014J,23.5,-24.6,1.0,1,72.63423627854205,1,180,2,Average-Performing Moderately-Engaged Heavy-Workload Studier
46844,AAA,2014J,11.724137931034482,-5.928571428571429,1.0,1,61.83640264026403,0,60,5,Struggling Low-Engagement Studier
47061,EEE,2014J,34.7,-18.55555555555556,1.0,1,78.03225389939055,0,30,0,High-Performing Low-Engagement Light-Workload Studier
47063,DDD,2013J,7.2105263157894735,-6.555555555555555,1.0,1,52.27361881937437,0,120,5,Struggling Low-Engagement Studier
47855,BBB,2013J,3.0,-2.6666666666666665,1.0,1,51.293683603977726,3,300,3,Average-Performing Low-Engagement Repeat-Attempter Studier
47861,FFF,2014J,224.53846153846155,-227.3684210526316,1.0,1,60.33351102193645,0,60,1,High-Performing Engaged Fading-Effort Studier
47891,BBB,2014J,9.833333333333334,-9.636363636363637,1.0,1,81.4127241596828,4,60,3,Average-Performing Low-Engagement Repeat-Attempter Studier
47924,FFF,2013J,34.0,0.0,1.0,1,60.56963273354695,0,60,5,Struggling Low-Engagement Studier
48040,BBB,2013J,45.725,-44.84615384615385,1.0,1,71.86579760109171,0,120,2,Average-Performing Moderately-Engaged Heavy-Workload Studier
48152,DDD,2013J,22.0,-21.91304347826087,1.0,1,58.89630143513847,0,120,5,Struggling Low-Engagement Studier
48503,BBB,2013J,18.08333333333333,-14.695652173913045,1.0,1,77.34071069453422,0,60,0,High-Performing Low-Engagement Light-Workload Studier
48635,CCC,2014J,98.66666666666669,-117.2,1.0,1,75.5410139145665,0,120,1,High-Performing Engaged Fading-Effort Studier
48635,FFF,2014B,115.94736842105264,-112.91891891891892,1.0,1,83.34064881758181,0,60,1,High-Performing Engaged Fading-Effort Studier
49119,CCC,2014B,64.96774193548387,-37.16666666666667,1.0,1,75.40105383737286,0,90,0,High-Performing Low-Engagement Light-Workload Studier
49119,DDD,2014B,25.4,-26.0,1.0,1,69.16265725005518,0,90,0,High-Performing Low-Engagement Light-Workload Studier
49123,GGG,2014B,46.96551724137931,-44.5,1.0,1,79.43298177062222,0,30,0,High-Performing Low-Engagement Light-Workload Studier
50069,BBB,2014B,33.1875,15.799999999999995,1.0,1,83.60004232379934,0,90,0,High-Performing Low-Engagement Light-Workload Studier
50263,CCC,2014B,42.5,-46.11111111111112,1.0,1,45.51016773044382,0,60,5,Struggling Low-Engagement Studier
50263,FFF,2013B,154.28947368421052,-150.24324324324326,1.0,1,83.63081859491945,0,60,1,High-Performing Engaged Fading-Effort Studier
50476,DDD,2014B,24.695652173913043,42.13636363636364,1.0,1,86.65977463890728,0,60,0,High-Performing Low-Engagement Light-Workload Studier
50487,FFF,2013J,128.74358974358975,-127.0,1.0,1,80.38793121316691,1,60,1,High-Performing Engaged Fading-Effort Studier
50610,DDD,2013J,4.333333333333333,-5.0,1.0,1,82.86482509249916,1,70,3,Average-Performing Low-Engagement Repeat-Attempter Studier
50993,BBB,2013B,11.733333333333333,9.928571428571429,1.0,1,56.91244892579412,0,60,5,Struggling Low-Engagement Studier
51030,DDD,2014B,25.93548387096774,-21.633333333333333,1.0,1,81.3958857500184,0,60,0,High-Performing Low-Engagement Light-Workload Studier
51033,DDD,2014J,30.433333333333334,11.96551724137931,1.0,1,91.60015049086813,0,60,0,High-Performing Low-Engagement Light-Workload Studier
51153,DDD,2014J,36.84375,-26.67741935483871,1.0,1,71.26403937975701,0,60,0,High-Performing Low-Engagement Light-Workload Studier
51163,DDD,2013J,36.46875,74.87096774193549,1.0,1,74.13016313488059,0,60,0,High-Performing Low-Engagement Light-Workload Studier
51301,BBB,2013J,74.44444444444444,-34.25,1.0,1,78.9158371040724,2,60,3,Average-Performing Low-Engagement Repeat-Attempter Studier
51485,FFF,2013J,83.33333333333333,-79.75,1.0,1,91.18524362297933,0,120,2,Average-Performing Moderately-Engaged Heavy-Workload Studier
51576,CCC,2014B,41.22222222222222,-45.25,1.0,1,60.51016773044382,0,90,5,Struggling Low-Engagement Studier
51576,CCC,2014J,53.5,-56.57142857142857,1.0,1,82.27050695728326,1,60,3,Average-Performing Low-Engagement Repeat-Attempter Studier
51576,FFF,2013J,203.92307692307693,-207.92,1.0,1,82.22702452726023,0,90,1,High-Performing Engaged Fading-Effort Studier
51955,DDD,2014J,13.5,-12.93103448275862,1.0,1,55.32237271309034,0,60,5,Struggling Low-Engagement Studier
52014,DDD,2013B,15.173913043478262,-11.681818181818182,1.0,1,54.55032041489369,2,120,3,Average-Performing Low-Engagement Repeat-Attempter Studier
52130,AAA,2013J,52.61111111111112,-51.02857142857143,1.0,1,70.96966073983242,0,90,0,High-Performing Low-Engagement Light-Workload Studier
52275,FFF,2014J,22.75,-9.0,1.0,1,78.72092735703245,0,90,0,High-Performing Low-Engagement Light-Workload Studier
52426,BBB,2014B,13.6,0.5,1.0,1,63.576717455225875,1,60,3,Average-Performing Low-Engagement Repeat-Attempter Studier
52702,GGG,2014J,26.916666666666668,126.63636363636364,1.0,1,77.00007864333105,0,30,0,High-Performing Low-Engagement Light-Workload Studier
52765,AAA,2014J,120.4390243902439,-122.425,1.0,1,67.16973597359735,0,120,1,High-Performing Engaged Fading-Effort Studier
52797,BBB,2013J,37.23333333333333,60.793103448275865,1.0,1,83.53906599936012,1,60,3,Average-Performing Low-Engagement Repeat-Attempter Studier
52899,BBB,2013B,84.36363636363636,-69.7,1.0,1,75.54768683274021,0,60,0,High-Performing Low-Engagement Light-Workload Studier
52899,BBB,2013J,46.66666666666666,-47.09375,1.0,1,76.61745582848525,1,90,3,Average-Performing Low-Engagement Repeat-Attempter Studier
53025,AAA,2013J,85.35135135135135,-82.58333333333333,1.0,1,73.90299407316574,0,60,0,High-Performing Low-Engagement Light-Workload Studier
53136,FFF,2014B,102.73529411764706,-97.6060606060606,1.0,1,74.7784374178704,1,120,3,Average-Performing Low-Engagement Repeat-Attempter Studier
53166,FFF,2013J,98.65517241379312,181.6071428571429,1.0,1,72.31993277641848,0,60,4,Average-Performing Engaged Increasing-Effort Studier
53197,FFF,2013B,15.0,25.333333333333336,1.0,1,77.97840899761924,0,60,0,High-Performing Low-Engagement Light-Workload Studier
53300,CCC,2014J,55.91428571428571,56.70588235294117,1.0,1,86.5985791202732,0,270,2,Average-Performing Moderately-Engaged Heavy-Workload Studier
53488,DDD,2013B,44.5625,-35.67741935483871,1.0,1,84.86077267504977,0,60,0,High-Performing Low-Engagement Light-Workload Studier
53632,DDD,2014B,28.33333333333333,-28.94117647058824,1.0,1,81.12299529169425,1,60,3,Average-Performing Low-Engagement Repeat-Attempter Studier
